year,region,compressive_strength,property,value,unit
2006,World,<=15 MPa,def,226.5,kg/m3
2006,World,<=15 MPa,min,165,kg/m3
2006,World,<=15 MPa,max,288,kg/m3
2006,World,<=15 MPa,abs_min,0,kg/m3
2006,World,<=15 MPa,abs_max,1000,kg/m3
2006,World,16-23 Mpa,def,315,kg/m3
2006,World,16-23 Mpa,min,240,kg/m3
2006,World,16-23 Mpa,max,390,kg/m3
2006,World,16-23 Mpa,abs_min,0,kg/m3
2006,World,16-23 Mpa,abs_max,1000,kg/m3
2006,World,24-35 Mpa,def,340,kg/m3
2006,World,24-35 Mpa,min,280,kg/m3
2006,World,24-35 Mpa,max,400,kg/m3
2006,World,24-35 Mpa,abs_min,0,kg/m3
2006,World,24-35 Mpa,abs_max,1000,kg/m3
2006,World,>35MPa,def,485,kg/m3
2006,World,>35MPa,min,300,kg/m3
2006,World,>35MPa,max,670,kg/m3
2006,World,>35MPa,abs_min,0,kg/m3
2006,World,>35MPa,abs_max,1000,kg/m3
