year,region,cement_product,property,value,unit
2006,CN,concrete,def,0.693,fraction
2006,CN,concrete,min,0.671,fraction
2006,CN,concrete,max,0.712,fraction
2006,CN,concrete,abs_min,0,fraction
2006,CN,concrete,abs_max,1,fraction
2006,CN,mortar,def,0.292,fraction
2006,CN,mortar,min,0.273,fraction
2006,CN,mortar,max,0.323,fraction
2006,CN,mortar,abs_min,0,fraction
2006,CN,mortar,abs_max,1,fraction
2006,US,concrete,def,0.86,fraction
2006,US,concrete,min,0.689,fraction
2006,US,concrete,max,0.894,fraction
2006,US,concrete,abs_min,0,fraction
2006,US,concrete,abs_max,1,fraction
2006,US,mortar,def,0.125,fraction
2006,US,mortar,abs_min,0,fraction
2006,US,mortar,abs_max,1,fraction
2006,US,mortar,min,0.091,fraction
2006,US,mortar,max,0.296,fraction
2006,EUR,concrete,def,0.712,fraction
2006,EUR,concrete,min,0.614,fraction
2006,EUR,concrete,max,0.865,fraction
2006,EUR,concrete,abs_min,0,fraction
2006,EUR,concrete,abs_max,1,fraction
2006,EUR,mortar,def,0.273,fraction
2006,EUR,mortar,abs_min,0,fraction
2006,EUR,mortar,abs_max,1,fraction
2006,EUR,mortar,min,0.12,fraction
2006,EUR,mortar,max,0.712,fraction
2006,IN,concrete,def,0.712,fraction
2006,IN,concrete,min,0.614,fraction
2006,IN,concrete,max,0.865,fraction
2006,IN,concrete,abs_min,0,fraction
2006,IN,concrete,abs_max,1,fraction
2006,IN,mortar,def,0.273,fraction
2006,IN,mortar,min,0.12,fraction
2006,IN,mortar,max,0.712,fraction
2006,IN,mortar,abs_min,0,fraction
2006,IN,mortar,abs_max,1,fraction
2006,World,concrete,def,0.712,fraction
2006,World,concrete,min,0.614,fraction
2006,World,concrete,max,0.865,fraction
2006,World,concrete,abs_min,0,fraction
2006,World,concrete,abs_max,1,fraction
2006,World,mortar,def,0.273,fraction
2006,World,mortar,min,0.12,fraction
2006,World,mortar,max,0.712,fraction
2006,World,mortar,abs_min,0,fraction
2006,World,mortar,abs_max,1,fraction
