year,region,cement_type,compressive_strength,exposure_condition,property,value,unit
2006,World,portland,<=15 MPa,Exposed outdoor,def,11.1,mm/year0.5
2006,World,portland,<=15 MPa,Exposed outdoor,min,4.2,mm/year0.5
2006,World,portland,<=15 MPa,Exposed outdoor,max,22.1,mm/year0.5
2006,World,portland,<=15 MPa,Indoors,def,25.5,mm/year0.5
2006,World,portland,<=15 MPa,Indoors,min,15.4,mm/year0.5
2006,World,portland,<=15 MPa,Indoors,max,36.5,mm/year0.5
2006,World,portland,16-23 Mpa,Exposed outdoor,def,10.4,mm/year0.5
2006,World,portland,16-23 Mpa,Exposed outdoor,min,4.3,mm/year0.5
2006,World,portland,16-23 Mpa,Exposed outdoor,max,19.2,mm/year0.5
2006,World,portland,16-23 Mpa,Indoors,def,23.9,mm/year0.5
2006,World,portland,16-23 Mpa,Indoors,min,13.9,mm/year0.5
2006,World,portland,16-23 Mpa,Indoors,max,36.5,mm/year0.5
2006,World,portland,23-35 Mpa,Exposed outdoor,def,10.63,mm/year0.5
2006,World,portland,23-35 Mpa,Exposed outdoor,min,5,mm/year0.5
2006,World,portland,23-35 Mpa,Exposed outdoor,max,19.75,mm/year0.5
2006,World,portland,23-35 Mpa,Indoors,def,23.68,mm/year0.5
2006,World,portland,23-35 Mpa,Indoors,min,15.75,mm/year0.5
2006,World,portland,23-35 Mpa,Indoors,max,35.15,mm/year0.5
2006,World,slag-cement,<=15 MPa,Exposed outdoor,def,13.6,mm/year0.5
2006,World,slag-cement,<=15 MPa,Exposed outdoor,min,7.1,mm/year0.5
2006,World,slag-cement,<=15 MPa,Exposed outdoor,max,19.9,mm/year0.5
2006,World,slag-cement,<=15 MPa,Indoors,def,29.1,mm/year0.5
2006,World,slag-cement,<=15 MPa,Indoors,min,23.3,mm/year0.5
2006,World,slag-cement,<=15 MPa,Indoors,max,35.4,mm/year0.5
2006,World,slag-cement,16-20 Mpa,Exposed outdoor,def,14.2,mm/year0.5
2006,World,slag-cement,16-20 Mpa,Exposed outdoor,min,7.1,mm/year0.5
2006,World,slag-cement,16-20 Mpa,Exposed outdoor,max,21.2,mm/year0.5
2006,World,slag-cement,16-20 Mpa,Indoors,def,29.9,mm/year0.5
2006,World,slag-cement,16-20 Mpa,Indoors,min,22.3,mm/year0.5
2006,World,slag-cement,16-20 Mpa,Indoors,max,37.1,mm/year0.5
2006,World,slag-cement,23-35 Mpa,Exposed outdoor,def,13.84,mm/year0.5
2006,World,slag-cement,23-35 Mpa,Exposed outdoor,min,8.05,mm/year0.5
2006,World,slag-cement,23-35 Mpa,Exposed outdoor,max,21.2,mm/year0.5
2006,World,slag-cement,23-35 Mpa,Indoors,def,29.52,mm/year0.5
2006,World,slag-cement,23-35 Mpa,Indoors,min,39.1,mm/year0.5
2006,World,slag-cement,23-35 Mpa,Indoors,max,21.7,mm/year0.5
2006,World,portland,<=15 MPa,Exposed outdoor,abs_min,0,mm/year
2006,World,portland,<=15 MPa,Exposed outdoor,,inf,mm/year
2006,World,portland,<=15 MPa,Indoors,abs_min,0,mm/year
2006,World,portland,<=15 MPa,Indoors,,inf,mm/year
2006,World,portland,16-23 Mpa,Exposed outdoor,abs_min,0,mm/year
2006,World,portland,16-23 Mpa,Exposed outdoor,,inf,mm/year
2006,World,portland,16-23 Mpa,Indoors,abs_min,0,mm/year
2006,World,portland,16-23 Mpa,Indoors,,inf,mm/year
2006,World,portland,23-35 Mpa,Exposed outdoor,abs_min,0,mm/year
2006,World,portland,23-35 Mpa,Exposed outdoor,,inf,mm/year
2006,World,portland,23-35 Mpa,Indoors,abs_min,0,mm/year
2006,World,portland,23-35 Mpa,Indoors,,inf,mm/year
2006,World,slag-cement,<=15 MPa,Exposed outdoor,abs_min,0,mm/year
2006,World,slag-cement,<=15 MPa,Exposed outdoor,,inf,mm/year
2006,World,slag-cement,<=15 MPa,Indoors,abs_min,0,mm/year
2006,World,slag-cement,<=15 MPa,Indoors,,inf,mm/year
2006,World,slag-cement,16-20 Mpa,Exposed outdoor,abs_min,0,mm/year
2006,World,slag-cement,16-20 Mpa,Exposed outdoor,,inf,mm/year
2006,World,slag-cement,16-20 Mpa,Indoors,abs_min,0,mm/year
2006,World,slag-cement,16-20 Mpa,Indoors,,inf,mm/year
2006,World,slag-cement,23-35 Mpa,Exposed outdoor,abs_min,0,mm/year
2006,World,slag-cement,23-35 Mpa,Exposed outdoor,,inf,mm/year
2006,World,slag-cement,23-35 Mpa,Indoors,abs_min,0,mm/year
2006,World,slag-cement,23-35 Mpa,Indoors,,inf,mm/year
