year,region,cement_type,property,value,unit
2006,World,portland,def,10,%
2006,World,masonry,def,10,%
2006,World,slagmod-portland,def,30,%
2006,World,portland-bf-slag,def,10,%
2006,World,portland-pozzolan,def,10,%
2006,World,pozzolan-mod,def,10,%
2006,World,slag-cement,def,80,%
2006,World,portland,min,10,%
2006,World,portland,abs_min,10,%
2006,World,portland,max,100,%
2006,World,portland,abs_max,100,%
2006,World,masonry,min,10,%
2006,World,masonry,abs_min,10,%
2006,World,masonry,max,100,%
2006,World,masonry,abs_max,100,%
2006,World,slagmod-portland,min,10,%
2006,World,slagmod-portland,abs_min,10,%
2006,World,slagmod-portland,max,100,%
2006,World,slagmod-portland,abs_max,100,%
2006,World,portland-bf-slag,min,10,%
2006,World,portland-bf-slag,abs_min,10,%
2006,World,portland-bf-slag,max,100,%
2006,World,portland-bf-slag,abs_max,100,%
2006,World,portland-pozzolan,min,10,%
2006,World,portland-pozzolan,abs_min,10,%
2006,World,portland-pozzolan,max,100,%
2006,World,portland-pozzolan,abs_max,100,%
2006,World,pozzolan-mod,min,10,%
2006,World,pozzolan-mod,abs_min,10,%
2006,World,pozzolan-mod,max,100,%
2006,World,pozzolan-mod,abs_max,100,%
2006,World,slag-cement,min,10,%
2006,World,slag-cement,abs_min,10,%
2006,World,slag-cement,max,100,%
2006,World,slag-cement,abs_max,100,%
