"",cancer_cell_module_1,cancer_cell_module_2,cancer_cell_module_3,cancer_cell_module_4,cancer_cell_module_5,cancer_cell_module_6,cancer_cell_module_7,cancer_cell_module_8,cancer_cell_module_9,cancer_cell_module_10,cancer_cell_module_11,cancer_cell_module_12,cancer_cell_module_13,cancer_cell_module_14,cancer_cell_module_15,cancer_cell_module_16,cancer_cell_module_17,cancer_cell_module_18,cancer_cell_module_19,cancer_cell_module_20,cancer_cell_module_21,cancer_cell_module_22,cancer_cell_module_23,cancer_cell_module_24,cancer_cell_module_25,cancer_cell_module_26,cancer_cell_module_27,cancer_cell_module_28,cancer_cell_module_29
cancer_state_2_0.2,-0.0557997796176071,0.13990225435665,-0.527356374724884,0.810392880592177,0.878793499802943,-0.0828071006432711,-0.579075331208393,-0.123982798550474,-0.259123682327876,0.242783164479729,0.79542685732917,0.331326345662249,-0.118133967898152,0.110874458357968,-0.107883369636575,0.025400683938922,0.524803688799113,0.253419903793288,-0.299745289921312,-0.0386247287002044,0.219483508201471,-0.0103201421521138,0.470790583297583,-0.0897997190258341,-0.0369843940991056,-0.00335501592984075,-0.0524996052684192,0.573953584521346,-0.12089721138769
cancer_state_1_0.2,-0.0554121090071183,-0.268908970660064,-0.495976359335907,-0.545738951721422,-0.432171863756507,-0.0811359831435714,-0.55494712828377,-0.204962058616507,-0.315529498100201,-0.42009280446113,-0.256373170330684,-0.341727425549552,0.342629332362967,-0.35902024510096,0.0549617800363053,-0.244682359987456,-0.268271755396885,0.11394084010091,0.871746773921613,-0.0542473479229758,-0.166029864182336,-0.116782820165197,-0.45399908972971,-0.117444082427646,0.614454413403543,-0.0863592744050632,-0.391749372087564,-0.28755202919121,-0.576860483000096
cancer_state_5_0.4,-0.0053040611343837,-0.228601283471068,0.139259707891007,-0.18001826522517,0.111465949243209,0.172149596127796,0.106576980045126,0.537453567935977,2.56021441443642,1.75048797393198,-0.14116109361547,-0.255052496534358,-0.0127589068109934,-0.282356480829011,-0.204275695014468,0.0369892218214125,-0.0733053956884085,-0.384366673280143,-0.674705522830056,-0.0411309116527386,-0.0357893055656758,0.0142188209560465,-0.138228802218609,-0.147422901318298,-0.757578038281127,0.0357485258224891,1.93706960379531,-0.32787619259391,-0.0727501777707107
cancer_state_3_0.5,-0.0469918921509899,0.515830254152336,-0.496750484667211,1.70092528690146,0.740125058603786,-0.0775050307142842,-0.542583857174915,0.0267133352042945,-0.2105199148194,0.578381977669917,1.25314803419047,0.955658358982692,-0.178866137789011,0.357554430636421,-0.150653743059125,0.241802407975963,0.257204369213722,0.0691867394475547,-0.733976261800422,-0.0427317399689594,0.572287829362028,0.135506917187101,0.722609843290731,0.0250783994480841,-0.513338194626012,0.0329536362337482,0.149944837806947,1.28006269040792,0.0399357261635816
cancer_state_12_0.7,-0.0831166171642671,-0.390140638520183,0.324644669177876,-0.460152438988628,0.142849841097852,-0.157204556377607,0.244015445531646,-0.367510783379833,-0.33198759640133,-0.497876474750793,-0.503945040268959,-0.550444487169355,-0.270230077873397,-0.265714520265566,-0.200503979025579,-0.385713316895562,0.599545661201149,0.0418895100847731,0.0478507243183915,-0.0952194039157733,-0.20567278358318,-0.334085913234995,0.803043910639447,-0.33578151165351,-0.0390943605757882,-0.196512029795436,-0.423868137278486,-0.364263248026945,0.151296078345287
cancer_state_10_0.7,-0.0726641930429732,-0.12479444849209,0.176359456585312,0.146109160775227,-0.151646367331495,-0.168226675976586,0.283542215580926,-0.266504935294613,-0.432528588353944,-0.346844736127966,-0.458031166830091,0.762557286405221,-0.644367891756331,2.62424982499132,-0.210101063250215,-0.227715261158207,0.0163563777318954,-0.372993291750328,-0.650232393557649,-0.112970759900496,-0.0785325754393263,-0.306032999227359,-0.245504132280427,-0.0507645216852803,-0.149686180785391,-0.0361686775421893,-0.133050761734826,0.203904815241521,0.879610229688874
cancer_state_8_0.4,0.0042591647711542,3.1873581976148,-0.0974188420488238,1.09448248109476,-0.405205043814239,0.00556301339717527,-0.230898817789987,0.196858313608264,-0.123089177330296,0.319800226724907,0.778847376255689,0.781825377155242,0.199997050046213,0.0635959876665351,0.0423347347066187,0.694246915265429,-0.319688926951191,-0.271524207296133,-0.360579127260723,0.00101238113605326,0.467604818437604,0.871141395410025,-0.365369745375975,3.1097832155987,-0.700161074938211,1.71994286780004,0.416426394707562,0.663048661674467,0.569247536126041
cancer_state_8_0.6,-0.0810567174345585,-0.288585406667928,-0.134759237738324,-0.213763734633498,-0.555919648461696,-0.168832547280172,0.272247275790885,-0.355847345277683,-0.272964135644725,-0.0937981324029408,-0.510518921196245,-0.190840522560424,-0.635884764763887,0.0426021007694474,-0.323849510640208,-0.422536205204345,-0.514597325767994,0.529269622710063,-0.347059734508759,-0.12111118466166,-0.183230858950487,-0.275359391585904,0.487215140365196,-0.347532534970409,-0.105116671693771,-0.166376491053417,-0.187172407228797,-0.131652868952707,1.5479956995057
cancer_state_7_0.6,-0.0471032793465866,-0.165300606190104,-0.566385791961609,-0.413080953354125,-0.0453774696919299,-0.0518384335291903,-0.639442541114057,-0.274009624360397,-0.178422257449734,-0.283453940384045,0.58108871961792,-0.0817157968105187,1.50010985703685,-0.212383542643025,0.143774429015366,-0.0355336407018861,-0.000365355511610506,0.913843363228491,1.41219409828453,0.0210774909309428,-0.13531322925969,0.24856590305601,-0.196788959685407,-0.0342802291157157,-0.0401813660695478,-0.0686219125301178,-0.177734241548953,0.172737566073644,-0.810502327521469
cancer_state_11_0.8,-0.0719147682978765,-0.124607324890789,0.232173215309436,0.126771969819551,-0.157270439998807,-0.163420594699535,0.416687363246595,-0.27178220168433,-0.417262384073453,-0.34684412797143,-0.443912318454936,0.78060075484372,-0.5875758000556,2.60362906827552,-0.205202118992027,-0.213560728038777,0.0181942709048332,-0.291999818923298,-0.610191690056481,-0.11019920754907,-0.0807077121634653,-0.268499384687406,-0.221498458964978,-0.059546635648677,-0.215756233682543,-0.0430386644930195,-0.0972385340945811,0.24738389945068,0.889346188736356
