code,description
<=15 MPa,Compressive strengths lower than 15 Mpa
16-20 Mpa,Compressive strengths between 16 and 20 Mpa
23-35 Mpa,Compressive strengths between 25 and 35 Mpa
>35MPa,Compressive strengths larger than 35 Mpa
