cat5,cat4,cat3,cat2,cat1,cat0
2006,2019,2016,0,0,0
2007,2006,2019,0,0,0
2008,2006,2019,0,0,0
2009,2006,2019,0,0,0
2010,2006,2019,2022,0,0
2011,2006,2019,2022,0,0
2012,2006,2019,2022,0,0
2013,2019,2006,2022,0,0
2014,2019,2006,2022,0,0
2015,2019,2006,2022,0,0
2016,2019,2015,2020,2022,2006
2017,2019,2006,2022,0,0
2018,2019,2006,2022,0,0
2019,2006,2022,2020,0,0
2020,2019,2006,0,0,0
2021,2019,2006,2022,0,0
2022,2019,2006,2022,0,0
2023,2019,2006,2022,0,0
