country,unregion,geographicregion,continent,world
AF,Southern Asia,,ASI,World
AX,Northern Europe,,EUR,World
AL,Southern Europe,,EUR,World
DZ,Northern Africa,,AFR,World
AS,Polynesia,,AUS,World
AD,Southern Europe,,EUR,World
AO,Middle Africa,Sub-Saharan Africa,AFR,World
AI,Caribbean,Latin America,NAM,World
AQ,Antarctica,,ANT,World
AG,Caribbean,Latin America,NAM,World
AR,Southern America,Latin America,NAM,World
AM,Western Asia,,ASI,World
AW,Caribbean,Latin America,NAM,World
AU,Australia and New Zealand,,AUS,World
AT,Western Europe,,EUR,World
AZ,Western Asia,,ASI,World
BS,Caribbean,Latin America,NAM,World
BH,Western Asia,Middle East,ASI,World
BD,Southern Asia,Indian Subcontinent,ASI,World
BB,Caribbean,Latin America,NAM,World
BY,Eastern Europe,,EUR,World
BE,Western Europe,,EUR,World
BZ,Central America,Latin America,NAM,World
BJ,Western Africa,Sub-Saharan Africa,AFR,World
BM,Northern America,,NAM,World
BT,Southern Asia,Indian Subcontinent,ASI,World
BO,Southern America,Latin America,NAM,World
BQ,Caribbean,Latin America,NAM,World
BA,Southern Europe,,EUR,World
BW,Southern Africa,Sub-Saharan Africa,AFR,World
BR,Southern America,Latin America,NAM,World
IO,Eastern Africa,Sub-Saharan Africa,AFR,World
BN,South-Eastern Asia,,ASI,World
BG,Eastern Europe,,EUR,World
BF,Western Africa,Sub-Saharan Africa,AFR,World
BI,Eastern Africa,Sub-Saharan Africa,AFR,World
KH,South-Eastern Asia,,ASI,World
CM,Middle Africa,Sub-Saharan Africa,AFR,World
CA,Northern America,,NAM,World
CV,Western Africa,Sub-Saharan Africa,AFR,World
KY,Caribbean,Latin America,NAM,World
CF,Middle Africa,Sub-Saharan Africa,AFR,World
TD,Middle Africa,Sub-Saharan Africa,AFR,World
CL,Southern America,Latin America,NAM,World
CN,Eastern Asia,,ASI,World
CX,Australia and New Zealand,,AUS,World
CC,Australia and New Zealand,,AUS,World
CO,Southern America,Latin America,SAM,World
KM,Eastern Africa,Sub-Saharan Africa,AFR,World
CG,Middle Africa,Sub-Saharan Africa,AFR,World
CD,Middle Africa,Sub-Saharan Africa,AFR,World
