code,description
N_unspec,application of Nitrogen fertilizer - unspecified
N_synthetic,application of Nitrogen fertilizer - synthetic
N_organic,application of Nitrogen fertilizer - organic
rice_cont_flooding,rice cultivation - continous flooding
rice_drainage,rice cultivation - drainage
rice_unspec,rice cultivation - unspecified
dummy,dumy place holder for emtpy table
