code,description
boreal_temperate,region with mainly boreal and or temperate climate
tropical,region with mainly tropical climate
tropical-montane,region with mainly tropical climate and elevation > 1000m
boreal,region with mainly boreal climate
temperate-warm,region with mainly warm temperate climate
temperate-cool,region with mainly cool temperate climate
temperate,region with mainly warm or cool temperate climate
polar,region with mainly polar climate
dummy,dummy category
