cell,gmax,fire_prob
151124_03,0.04324218749999999,0.7
151124_10P,0.028749999999999998,0.75
151124_11P,0.039687499999999994,0.8
151201_02_LOOK,0.04406249999999999,0.75
151201_05_LOOK,0.055,0.75
151201_06P,0.05062499999999999,0.7
151209_03P,0.0725,0.7
151209_06_LOOK,0.04624999999999999,0.8
151209_09O,0.030937499999999996,0.8
151210_02P,0.055,0.7
151210_03P_LOOK,0.05609375,0.75
151210_04P_LOOK,0.052265624999999996,0.7
151210_05p,0.055,0.8
151210_07O_LOOK,0.055,0.8
151214_02or03,0.057187499999999995,0.7
151214_09p,0.048437499999999994,0.75
151214_10P,0.06375,0.8
151217_03P_LOOK,0.041874999999999996,0.75
151217_04P,0.041874999999999996,0.7
151217_12p,0.04789062499999999,0.7
160105_10,0.06375,0.75
160105_12P,0.059375,0.8
160105_14P,0.05062499999999999,0.8
160105_15P,0.051718749999999994,0.75
160106_03P_LOOK,0.036406249999999994,0.8
160106_04_LOOK,0.055546874999999996,0.8
160111_02P,0.04624999999999999,0.8
160112_16P,0.05062499999999999,0.7
160112_19P,0.0615625,0.8
160112_20P_LOOK,0.059375,0.75
160112_26P_LOOK,0.068671875,0.8
160112_27P,0.041874999999999996,0.75
160123_08_LOOK,0.057187499999999995,0.8
160126_08_LOOK,0.048437499999999994,0.7
160305_01p,0.048300781249999994,0.7
160305_09P,0.05062499999999999,0.8
160317_16_LOOK,0.0659375,0.7
160317_20P,0.0353125,0.7
160318_16,0.03756835937499999,0.7
160318_21p,0.05007812499999999,0.8
