year,region,landusechange_type,property,value,unit
2019,World,FL_CL,def,15.0,kg/kg
2019,World,GL_CL,def,15.0,kg/kg
2019,World,CL_CL,def,10.0,kg/kg
2019,World,FL_CL,min,10.0,kg/kg
2019,World,GL_CL,min,10.0,kg/kg
2019,World,CL_CL,min,8.0,kg/kg
2019,World,FL_CL,max,30.0,kg/kg
2019,World,GL_CL,max,30.0,kg/kg
2019,World,CL_CL,max,15.0,kg/kg
2019,World,FL_CL,abs_min,0.0,kg/kg
2019,World,GL_CL,abs_min,0.0,kg/kg
2019,World,CL_CL,abs_min,0.0,kg/kg
2019,World,FL_CL,abs_max,inf,kg/kg
2019,World,GL_CL,abs_max,inf,kg/kg
2019,World,CL_CL,abs_max,inf,kg/kg
