landuse_type,drainage_type,soil_fertility,climate_zone,property,value,unit
FL,drained,nutrientpoor,boreal,def,0.22,kg/ha/yr
FL,drained,nutrientrich,boreal,def,3.2,kg/ha/yr
FL,drained,undefined,temperate,def,2.8,kg/ha/yr
FL,drained,undefined,tropical,def,2.4,kg/ha/yr
CL-PLAN-OILPALM,undefined,undefined,tropical,def,1.2,kg/ha/yr
CL-PLAN-SAGOPALM,undefined,undefined,tropical,def,3.3,kg/ha/yr
CL,drained,undefined,boreal_temperate,def,13.0,kg/ha/yr
CL,undefined,undefined,tropical,def,5.0,kg/ha/yr
CL-RICE,undefined,undefined,tropical,def,0.4,kg/ha/yr
GL,drained,undefined,boreal,def,9.4,kg/ha/yr
GL,drained,nutrientpoor,temperate,def,4.3,kg/ha/yr
GL,deepdrained,nutrientrich,temperate,def,8.2,kg/ha/yr
GL,shallowdrained,nutrientrich,temperate,def,1.6,kg/ha/yr
GL,undefined,undefined,tropical,def,5.0,kg/ha/yr
WL-PEAT,undefined,undefined,boreal_temperate,def,0.3,kg/ha/yr
WL-PEAT,undefined,undefined,tropical,def,3.6,kg/ha/yr
SL-PARK,undefined,undefined,tropical,def,8.2,kg/ha/yr
SL-PARK,undefined,undefined,boreal,def,8.2,kg/ha/yr
SL-PARK,undefined,undefined,boreal_temperate,def,8.2,kg/ha/yr
SL-PARK,undefined,undefined,temperate,def,8.2,kg/ha/yr
OL,undefined,undefined,tropical,def,0.0,kg/ha/yr
OL,undefined,undefined,boreal,def,0.0,kg/ha/yr
OL,undefined,undefined,boreal_temperate,def,0.0,kg/ha/yr
OL,undefined,undefined,temperate,def,0.0,kg/ha/yr
FL,drained,nutrientpoor,boreal,min,0.15,kg/ha/yr
FL,drained,nutrientrich,boreal,min,1.9,kg/ha/yr
FL,drained,undefined,temperate,min,0.0,kg/ha/yr
FL,drained,undefined,tropical,min,1.3,kg/ha/yr
CL-PLAN-OILPALM,undefined,undefined,tropical,min,0.6,kg/ha/yr
CL-PLAN-SAGOPALM,undefined,undefined,tropical,min,1.65,kg/ha/yr
CL,drained,undefined,boreal_temperate,min,8.2,kg/ha/yr
CL,undefined,undefined,tropical,min,2.3,kg/ha/yr
CL-RICE,undefined,undefined,tropical,min,0.0,kg/ha/yr
GL,drained,undefined,boreal,min,4.6,kg/ha/yr
GL,drained,nutrientpoor,temperate,min,1.9,kg/ha/yr
GL,deepdrained,nutrientrich,temperate,min,4.5,kg/ha/yr
GL,shallowdrained,nutrientrich,temperate,min,0.56,kg/ha/yr
GL,undefined,undefined,tropical,min,2.3,kg/ha/yr
