climate_zone,moisture_regime,soil_type,property,value,unit
boreal,undefined,HAC,def,68.0,t/ha
temperate-cool,dry,HAC,def,50.0,t/ha
temperate-cool,moist,HAC,def,95.0,t/ha
temperate-warm,dry,HAC,def,38.0,t/ha
temperate-warm,moist,HAC,def,88.0,t/ha
temperate-warm,wet,HAC,def,88.0,t/ha
tropical,dry,HAC,def,38.0,t/ha
tropical,moist,HAC,def,65.0,t/ha
tropical,wet,HAC,def,44.0,t/ha
tropical-montane,undefined,HAC,def,88.0,t/ha
temperate-cool,dry,LAC,def,33.0,t/ha
temperate-cool,moist,LAC,def,85.0,t/ha
temperate-warm,dry,LAC,def,24.0,t/ha
temperate-warm,moist,LAC,def,63.0,t/ha
temperate-warm,wet,LAC,def,63.0,t/ha
tropical,dry,LAC,def,35.0,t/ha
tropical,moist,LAC,def,47.0,t/ha
tropical,wet,LAC,def,60.0,t/ha
tropical-montane,undefined,LAC,def,63.0,t/ha
boreal,undefined,sandy,def,10.0,t/ha
temperate-cool,dry,sandy,def,34.0,t/ha
temperate-cool,moist,sandy,def,71.0,t/ha
temperate-warm,dry,sandy,def,19.0,t/ha
temperate-warm,moist,sandy,def,34.0,t/ha
temperate-warm,wet,sandy,def,34.0,t/ha
tropical,dry,sandy,def,31.0,t/ha
tropical,moist,sandy,def,39.0,t/ha
tropical,wet,sandy,def,66.0,t/ha
tropical-montane,undefined,sandy,def,34.0,t/ha
boreal,undefined,spodic,def,117.0,t/ha
temperate-cool,moist,spodic,def,115.0,t/ha
boreal,undefined,volcanic,def,20.0,t/ha
temperate-cool,dry,volcanic,def,20.0,t/ha
temperate-cool,moist,volcanic,def,130.0,t/ha
temperate-warm,dry,volcanic,def,70.0,t/ha
temperate-warm,moist,volcanic,def,80.0,t/ha
temperate-warm,wet,volcanic,def,80.0,t/ha
tropical,dry,volcanic,def,50.0,t/ha
tropical,moist,volcanic,def,70.0,t/ha
tropical,wet,volcanic,def,130.0,t/ha
tropical-montane,undefined,volcanic,def,80.0,t/ha
boreal,undefined,wetland,def,146.0,t/ha
temperate-cool,dry,wetland,def,87.0,t/ha
temperate-cool,moist,wetland,def,87.0,t/ha
temperate-warm,dry,wetland,def,88.0,t/ha
temperate-warm,moist,wetland,def,88.0,t/ha
temperate-warm,wet,wetland,def,88.0,t/ha
tropical,dry,wetland,def,86.0,t/ha
tropical,moist,wetland,def,86.0,t/ha
tropical,wet,wetland,def,86.0,t/ha
tropical-montane,undefined,wetland,def,86.0,t/ha
boreal,undefined,HAC,min,6.800,t/ha
temperate-cool,dry,HAC,min,5.000,t/ha
temperate-cool,moist,HAC,min,9.500,t/ha
temperate-warm,dry,HAC,min,3.800,t/ha
temperate-warm,moist,HAC,min,8.800,t/ha
temperate-warm,wet,HAC,min,8.800,t/ha
tropical,dry,HAC,min,3.800,t/ha
tropical,moist,HAC,min,6.500,t/ha
tropical,wet,HAC,min,4.400,t/ha
tropical-montane,undefined,HAC,min,8.800,t/ha
temperate-cool,dry,LAC,min,3.300,t/ha
temperate-cool,moist,LAC,min,8.500,t/ha
temperate-warm,dry,LAC,min,2.400,t/ha
temperate-warm,moist,LAC,min,6.300,t/ha
temperate-warm,wet,LAC,min,6.300,t/ha
tropical,dry,LAC,min,3.500,t/ha
tropical,moist,LAC,min,4.700,t/ha
tropical,wet,LAC,min,6.000,t/ha
tropical-montane,undefined,LAC,min,6.300,t/ha
boreal,undefined,sandy,min,1.000,t/ha
temperate-cool,dry,sandy,min,3.400,t/ha
temperate-cool,moist,sandy,min,7.100,t/ha
temperate-warm,dry,sandy,min,1.900,t/ha
temperate-warm,moist,sandy,min,3.400,t/ha
temperate-warm,wet,sandy,min,3.400,t/ha
tropical,dry,sandy,min,3.100,t/ha
tropical,moist,sandy,min,3.900,t/ha
tropical,wet,sandy,min,6.600,t/ha
tropical-montane,undefined,sandy,min,3.400,t/ha
boreal,undefined,spodic,min,11.700,t/ha
temperate-cool,moist,spodic,min,11.500,t/ha
boreal,undefined,volcanic,min,2.000,t/ha
temperate-cool,dry,volcanic,min,2.000,t/ha
