amendment_level,climate_zone,moisture_regime,property,value,unit
low,temperate,dry,def,0.95,kg/kg
low,temperate,moist,def,0.92,kg/kg
low,temperate-warm,wet,def,0.92,kg/kg
low,boreal,wet,def,0.95,kg/kg
low,boreal,dry,def,0.92,kg/kg
low,boreal,moist,def,0.92,kg/kg
low,tropical,dry,def,0.95,kg/kg
low,tropical,wet,def,0.92,kg/kg
low,tropical,moist,def,0.92,kg/kg
low,tropical-montane,undefined,def,0.94,kg/kg
medium,boreal_temperate,wet,def,1.0,kg/kg
medium,boreal_temperate,dry,def,1.0,kg/kg
medium,boreal_temperate,moist,def,1.0,kg/kg
medium,tropical,wet,def,1.0,kg/kg
medium,tropical,dry,def,1.0,kg/kg
medium,tropical,moist,def,1.0,kg/kg
medium,tropical-montane,wet,def,1.0,kg/kg
medium,tropical-montane,dry,def,1.0,kg/kg
medium,tropical-montane,moist,def,1.0,kg/kg
medium,boreal,wet,def,1.0,kg/kg
medium,boreal,dry,def,1.0,kg/kg
medium,boreal,moist,def,1.0,kg/kg
medium,temperate-warm,wet,def,1.0,kg/kg
medium,temperate-warm,dry,def,1.0,kg/kg
medium,temperate-warm,moist,def,1.0,kg/kg
medium,temperate-cool,wet,def,1.0,kg/kg
medium,temperate-cool,dry,def,1.0,kg/kg
medium,temperate-cool,moist,def,1.0,kg/kg
medium,temperate,wet,def,1.0,kg/kg
medium,temperate,dry,def,1.0,kg/kg
medium,temperate,moist,def,1.0,kg/kg
high_no_manure,temperate,dry,def,1.04,kg/kg
high_no_manure,temperate,wet,def,1.11,kg/kg
high_no_manure,temperate,moist,def,1.11,kg/kg
high_no_manure,boreal,dry,def,1.04,kg/kg
high_no_manure,boreal,wet,def,1.11,kg/kg
high_no_manure,boreal,moist,def,1.11,kg/kg
high_no_manure,tropical,dry,def,1.04,kg/kg
high_no_manure,tropical,wet,def,1.11,kg/kg
high_no_manure,tropical,moist,def,1.11,kg/kg
high_no_manure,tropical-montane,undefined,def,1.08,kg/kg
high_with_manure,temperate,dry,def,1.37,kg/kg
high_with_manure,temperate,wet,def,1.44,kg/kg
high_with_manure,temperate,moist,def,1.44,kg/kg
high_with_manure,boreal,dry,def,1.37,kg/kg
high_with_manure,boreal,wet,def,1.44,kg/kg
high_with_manure,boreal,moist,def,1.44,kg/kg
high_with_manure,tropical,dry,def,1.37,kg/kg
high_with_manure,tropical,wet,def,1.44,kg/kg
high_with_manure,tropical,moist,def,1.44,kg/kg
high_with_manure,tropical-montane,undefined,def,1.41,kg/kg
low,temperate,dry,min,0.8265,kg/kg
low,temperate,moist,min,0.7912,kg/kg
low,temperate-warm,wet,min,0.7912,kg/kg
low,boreal,wet,min,0.8265,kg/kg
low,boreal,dry,min,0.7912,kg/kg
low,boreal,moist,min,0.7912,kg/kg
low,tropical,dry,min,0.8265,kg/kg
low,tropical,wet,min,0.7912,kg/kg
low,tropical,moist,min,0.7912,kg/kg
low,tropical-montane,undefined,min,0.47,kg/kg
medium,boreal_temperate,wet,min,1.0,kg/kg
medium,boreal_temperate,dry,min,1.0,kg/kg
medium,boreal_temperate,moist,min,1.0,kg/kg
medium,tropical,wet,min,1.0,kg/kg
medium,tropical,dry,min,1.0,kg/kg
medium,tropical,moist,min,1.0,kg/kg
medium,tropical-montane,wet,min,1.0,kg/kg
medium,tropical-montane,dry,min,1.0,kg/kg
medium,tropical-montane,moist,min,1.0,kg/kg
medium,boreal,wet,min,1.0,kg/kg
medium,boreal,dry,min,1.0,kg/kg
medium,boreal,moist,min,1.0,kg/kg
medium,temperate-warm,wet,min,1.0,kg/kg
medium,temperate-warm,dry,min,1.0,kg/kg
medium,temperate-warm,moist,min,1.0,kg/kg
medium,temperate-cool,wet,min,1.0,kg/kg
medium,temperate-cool,dry,min,1.0,kg/kg
medium,temperate-cool,moist,min,1.0,kg/kg
medium,temperate,wet,min,1.0,kg/kg
medium,temperate,dry,min,1.0,kg/kg
medium,temperate,moist,min,1.0,kg/kg
high_no_manure,temperate,dry,min,0.9048,kg/kg
high_no_manure,temperate,wet,min,0.999,kg/kg
high_no_manure,temperate,moist,min,0.999,kg/kg
high_no_manure,boreal,dry,min,0.9048,kg/kg
high_no_manure,boreal,wet,min,0.999,kg/kg
high_no_manure,boreal,moist,min,0.999,kg/kg
high_no_manure,tropical,dry,min,0.9048,kg/kg
high_no_manure,tropical,wet,min,0.999,kg/kg
high_no_manure,tropical,moist,min,0.999,kg/kg
high_no_manure,tropical-montane,undefined,min,0.54,kg/kg
high_with_manure,temperate,dry,min,1.2056,kg/kg
high_with_manure,temperate,wet,min,1.2528,kg/kg
high_with_manure,temperate,moist,min,1.2528,kg/kg
high_with_manure,boreal,dry,min,1.2056,kg/kg
high_with_manure,boreal,wet,min,1.2528,kg/kg
high_with_manure,boreal,moist,min,1.2528,kg/kg
high_with_manure,tropical,dry,min,1.2056,kg/kg
high_with_manure,tropical,wet,min,1.2528,kg/kg
high_with_manure,tropical,moist,min,1.2528,kg/kg
high_with_manure,tropical-montane,undefined,min,0.705,kg/kg
low,temperate,dry,max,1.0735,kg/kg
low,temperate,moist,max,1.0488,kg/kg
low,temperate-warm,wet,max,1.0488,kg/kg
low,boreal,wet,max,1.0735,kg/kg
low,boreal,dry,max,1.0488,kg/kg
low,boreal,moist,max,1.0488,kg/kg
low,tropical,dry,max,1.0735,kg/kg
low,tropical,wet,max,1.0488,kg/kg
low,tropical,moist,max,1.0488,kg/kg
low,tropical-montane,undefined,max,1.41,kg/kg
medium,boreal_temperate,wet,max,1.0,kg/kg
medium,boreal_temperate,dry,max,1.0,kg/kg
medium,boreal_temperate,moist,max,1.0,kg/kg
medium,tropical,wet,max,1.0,kg/kg
medium,tropical,dry,max,1.0,kg/kg
medium,tropical,moist,max,1.0,kg/kg
medium,tropical-montane,wet,max,1.0,kg/kg
medium,tropical-montane,dry,max,1.0,kg/kg
medium,tropical-montane,moist,max,1.0,kg/kg
medium,boreal,wet,max,1.0,kg/kg
medium,boreal,dry,max,1.0,kg/kg
medium,boreal,moist,max,1.0,kg/kg
medium,temperate-warm,wet,max,1.0,kg/kg
medium,temperate-warm,dry,max,1.0,kg/kg
medium,temperate-warm,moist,max,1.0,kg/kg
medium,temperate-cool,wet,max,1.0,kg/kg
medium,temperate-cool,dry,max,1.0,kg/kg
medium,temperate-cool,moist,max,1.0,kg/kg
medium,temperate,wet,max,1.0,kg/kg
medium,temperate,dry,max,1.0,kg/kg
medium,temperate,moist,max,1.0,kg/kg
high_no_manure,temperate,dry,max,1.1752,kg/kg
high_no_manure,temperate,wet,max,1.221,kg/kg
high_no_manure,temperate,moist,max,1.221,kg/kg
high_no_manure,boreal,dry,max,1.1752,kg/kg
high_no_manure,boreal,wet,max,1.221,kg/kg
high_no_manure,boreal,moist,max,1.221,kg/kg
high_no_manure,tropical,dry,max,1.1752,kg/kg
high_no_manure,tropical,wet,max,1.221,kg/kg
high_no_manure,tropical,moist,max,1.221,kg/kg
high_no_manure,tropical-montane,undefined,max,1.62,kg/kg
high_with_manure,temperate,dry,max,1.5344,kg/kg
high_with_manure,temperate,wet,max,1.6272,kg/kg
high_with_manure,temperate,moist,max,1.6272,kg/kg
high_with_manure,boreal,dry,max,1.5344,kg/kg
high_with_manure,boreal,wet,max,1.6272,kg/kg
high_with_manure,boreal,moist,max,1.6272,kg/kg
high_with_manure,tropical,dry,max,1.5344,kg/kg
high_with_manure,tropical,wet,max,1.6272,kg/kg
high_with_manure,tropical,moist,max,1.6272,kg/kg
high_with_manure,tropical-montane,undefined,max,2.115,kg/kg
low,temperate,dry,abs_min,0.0,kg/kg
low,temperate,moist,abs_min,0.0,kg/kg
low,temperate-warm,wet,abs_min,0.0,kg/kg
low,boreal,wet,abs_min,0.0,kg/kg
low,boreal,dry,abs_min,0.0,kg/kg
low,boreal,moist,abs_min,0.0,kg/kg
low,tropical,dry,abs_min,0.0,kg/kg
low,tropical,wet,abs_min,0.0,kg/kg
low,tropical,moist,abs_min,0.0,kg/kg
low,tropical-montane,undefined,abs_min,0.0,kg/kg
