landuse_type,climate_zone,moisture_regime,property,value,unit
CL-ANNUAL,temperate-cool,dry,def,0.77,kg/kg
CL-ANNUAL,temperate-cool,moist,def,0.7,kg/kg
CL-ANNUAL,boreal,dry,def,0.77,kg/kg
CL-ANNUAL,boreal,moist,def,0.7,kg/kg
CL-ANNUAL,temperate-warm,dry,def,0.76,kg/kg
CL-ANNUAL,temperate-warm,moist,def,0.69,kg/kg
CL-ANNUAL,temperate-warm,wet,def,0.69,kg/kg
CL-ANNUAL,tropical,dry,def,0.92,kg/kg
CL-ANNUAL,tropical,moist,def,0.83,kg/kg
CL-ANNUAL,tropical,wet,def,0.83,kg/kg
CL-RICE,tropical,dry,def,1.35,kg/kg
CL-RICE,temperate-warm,dry,def,1.35,kg/kg
CL-RICE,temperate,dry,def,1.35,kg/kg
CL-RICE,tropical,moist,def,1.35,kg/kg
CL-RICE,temperate-warm,moist,def,1.35,kg/kg
CL-RICE,temperate,moist,def,1.35,kg/kg
CL-RICE,tropical,wet,def,1.35,kg/kg
CL-RICE,temperate-warm,wet,def,1.35,kg/kg
CL-RICE,temperate,wet,def,1.35,kg/kg
CL-PLAN,temperate,dry,def,0.72,kg/kg
CL-VINE,temperate,dry,def,0.72,kg/kg
CL-ORCH,temperate,dry,def,0.72,kg/kg
CL-OLIV,temperate,dry,def,0.72,kg/kg
CL-AGRO,temperate,dry,def,0.72,kg/kg
CL-PLAN,boreal,dry,def,0.72,kg/kg
CL-VINE,boreal,dry,def,0.72,kg/kg
CL-ORCH,boreal,dry,def,0.72,kg/kg
CL-OLIV,boreal,dry,def,0.72,kg/kg
CL-AGRO,boreal,dry,def,0.72,kg/kg
CL-PLAN,tropical,dry,def,1.01,kg/kg
CL-VINE,tropical,dry,def,1.01,kg/kg
CL-ORCH,tropical,dry,def,1.01,kg/kg
CL-OLIV,tropical,dry,def,1.01,kg/kg
CL-AGRO,tropical,dry,def,1.01,kg/kg
CL-PLAN,boreal,moist,def,0.72,kg/kg
CL-VINE,boreal,moist,def,0.72,kg/kg
CL-ORCH,boreal,moist,def,0.72,kg/kg
CL-OLIV,boreal,moist,def,0.72,kg/kg
CL-AGRO,boreal,moist,def,0.72,kg/kg
CL-PLAN,temperate,moist,def,0.72,kg/kg
CL-VINE,temperate,moist,def,0.72,kg/kg
CL-ORCH,temperate,moist,def,0.72,kg/kg
CL-OLIV,temperate,moist,def,0.72,kg/kg
CL-AGRO,temperate,moist,def,0.72,kg/kg
CL-PLAN,tropical,moist,def,1.01,kg/kg
CL-VINE,tropical,moist,def,1.01,kg/kg
CL-ORCH,tropical,moist,def,1.01,kg/kg
CL-OLIV,tropical,moist,def,1.01,kg/kg
CL-AGRO,tropical,moist,def,1.01,kg/kg
CL-PLAN,tropical,wet,def,1.01,kg/kg
CL-VINE,tropical,wet,def,1.01,kg/kg
CL-ORCH,tropical,wet,def,1.01,kg/kg
CL-OLIV,tropical,wet,def,1.01,kg/kg
CL-AGRO,tropical,wet,def,1.01,kg/kg
CL-ASIDE,temperate,dry,def,0.93,kg/kg
CL-ASIDE,boreal,dry,def,0.93,kg/kg
CL-ASIDE,tropical,dry,def,0.93,kg/kg
CL-ASIDE,temperate,moist,def,0.82,kg/kg
CL-ASIDE,boreal,moist,def,0.82,kg/kg
CL-ASIDE,tropical,moist,def,0.82,kg/kg
CL-ASIDE,temperate,wet,def,0.82,kg/kg
CL-ASIDE,boreal,wet,def,0.82,kg/kg
CL-ASIDE,tropical,wet,def,0.82,kg/kg
CL-ASIDE,tropical-montane,undefined,def,0.88,kg/kg
CL-ANNUAL,temperate-cool,dry,min,0.6622,kg/kg
CL-ANNUAL,temperate-cool,moist,min,0.616,kg/kg
CL-ANNUAL,boreal,dry,min,0.6622,kg/kg
CL-ANNUAL,boreal,moist,min,0.616,kg/kg
CL-ANNUAL,temperate-warm,dry,min,0.6688,kg/kg
CL-ANNUAL,temperate-warm,moist,min,0.5796,kg/kg
CL-ANNUAL,temperate-warm,wet,min,0.5796,kg/kg
CL-ANNUAL,tropical,dry,min,0.8004,kg/kg
CL-ANNUAL,tropical,moist,min,0.7387,kg/kg
