year,region,prodict,property,value,unit
2006,World,water,def,0.09,weight ratio
2006,World,water,min,0.03,weight ratio
2006,World,water,max,0.15,weight ratio
2006,World,water,abs_min,0,weight ratio
2006,World,water,abs_max,1,weight ratio
2006,World,cement,def,1,weight ratio
2006,World,cement,min,1,weight ratio
2006,World,cement,max,1,weight ratio
2006,World,cement,abs_min,0,weight ratio
2006,World,cement,abs_max,1,weight ratio
2006,World,sand,def,1,weight ratio
2006,World,sand,min,1,weight ratio
2006,World,sand,max,1,weight ratio
2006,World,sand,abs_min,0,weight ratio
2006,World,sand,abs_max,1,weight ratio
2006,World,lime,def,1,weight ratio
2006,World,lime,min,1,weight ratio
2006,World,lime,max,1,weight ratio
2006,World,lime,abs_min,0,weight ratio
2006,World,lime,abs_max,1,weight ratio
