year,region,prodict,property,value,unit
2006,World,water,def,0.85,weight ratio
2006,World,water,min,0.5,weight ratio
2006,World,water,max,0.9,weight ratio
2006,World,water,abs_min,0,weight ratio
2006,World,water,abs_max,1,weight ratio
2006,World,cement,def,1,weight ratio
2006,World,cement,min,1,weight ratio
2006,World,cement,max,1,weight ratio
2006,World,cement,abs_min,0,weight ratio
2006,World,cement,abs_max,1,weight ratio
2006,World,aggregate,def,1,weight ratio
2006,World,aggregate,min,1,weight ratio
2006,World,aggregate,max,1,weight ratio
2006,World,aggregate,abs_min,0,weight ratio
2006,World,aggregate,abs_max,1,weight ratio
