year,region,property,value,unit
2006,CN,def,0.015,fraction
2006,CN,min,0.01,fraction
2006,CN,max,0.03,fraction
2006,CN,abs_min,0,fraction
2006,CN,abs_max,1,fraction
2006,US,def,0.015,fraction
2007,US,min,0.01,fraction
2008,US,max,0.03,fraction
2007,US,abs_min,0,fraction
2008,US,abs_max,1,fraction
2006,EUR,def,0.015,fraction
2006,EUR,min,0.01,fraction
2006,EUR,max,0.03,fraction
2006,EUR,abs_min,0,fraction
2006,EUR,abs_max,1,fraction
2006,IN,def,0.015,fraction
2006,IN,min,0.01,fraction
2006,IN,max,0.03,fraction
2006,IN,abs_min,0,fraction
2006,IN,abs_max,1,fraction
2006,World,def,0.015,fraction
2006,World,min,0.01,fraction
2006,World,max,0.03,fraction
2006,World,abs_min,0,fraction
2006,World,abs_max,1,fraction
