year,region,amount_of_addition,property,value,unit
2006,World,10,def,1.05,mm/year
2006,World,20,def,1.075,mm/year
2006,World,30,def,1.125,mm/year
2006,World,40,def,1.15,mm/year
2006,World,50,def,1.25,mm/year
2006,World,80,def,1.3,mm/year
2006,World,10,min,0,mm/year
2006,World,10,abs_min,0,mm/year
2006,World,10,max,inf,mm/year
2006,World,10,abs_max,inf,mm/year
2006,World,20,min,0,mm/year
2006,World,20,abs_min,0,mm/year
2006,World,20,max,inf,mm/year
2006,World,20,abs_max,inf,mm/year
2006,World,30,min,0,mm/year
2006,World,30,abs_min,0,mm/year
2006,World,30,max,inf,mm/year
2006,World,30,abs_max,inf,mm/year
2006,World,40,min,0,mm/year
2006,World,40,abs_min,0,mm/year
2006,World,40,max,inf,mm/year
2006,World,40,abs_max,inf,mm/year
2006,World,50,min,0,mm/year
2006,World,50,abs_min,0,mm/year
2006,World,50,max,inf,mm/year
2006,World,50,abs_max,inf,mm/year
2006,World,80,min,0,mm/year
2006,World,80,abs_min,0,mm/year
2006,World,80,max,inf,mm/year
2006,World,80,abs_max,inf,mm/year
