region,year,property,value,unit
AF,2007,def,30000,tonnes
AF,2008,def,37000,tonnes
AF,2009,def,32000,tonnes
AF,2010,def,36000,tonnes
AF,2011,def,38000,tonnes
AF,2012,def,37000,tonnes
AF,2013,def,52000,tonnes
AF,2014,def,87000,tonnes
AF,2015,def,70000,tonnes
AF,2016,def,101000,tonnes
AF,2017,def,80000,tonnes
AF,2018,def,80000,tonnes
AF,2019,def,80000,tonnes
AF,2020,def,80000,tonnes
AF,2021,def,40000,tonnes
AL,2007,def,889000,tonnes
AL,2008,def,918000,tonnes
AL,2009,def,1108000,tonnes
AL,2010,def,1300000,tonnes
AL,2011,def,1300000,tonnes
AL,2012,def,2230000,tonnes
AL,2013,def,2000000,tonnes
AL,2014,def,1740000,tonnes
AL,2015,def,1980000,tonnes
AL,2016,def,2000000,tonnes
AL,2017,def,1930000,tonnes
AL,2018,def,1770000,tonnes
AL,2019,def,1770000,tonnes
AL,2020,def,2522000,tonnes
AL,2021,def,2503000,tonnes
DZ,2007,def,15886000,tonnes
DZ,2008,def,17398000,tonnes
DZ,2009,def,18730000,tonnes
DZ,2010,def,19100000,tonnes
DZ,2011,def,20000000,tonnes
DZ,2012,def,19000000,tonnes
DZ,2013,def,18500000,tonnes
DZ,2014,def,21000000,tonnes
DZ,2015,def,23000000,tonnes
DZ,2016,def,23000000,tonnes
DZ,2017,def,25330000,tonnes
DZ,2018,def,24480000,tonnes
DZ,2019,def,25370000,tonnes
DZ,2020,def,22500000,tonnes
DZ,2021,def,24000000,tonnes
AO,2007,def,1400000,tonnes
AO,2008,def,1780000,tonnes
AO,2009,def,1800000,tonnes
AO,2010,def,1500000,tonnes
AO,2011,def,1500000,tonnes
AO,2012,def,3000000,tonnes
AO,2013,def,4000000,tonnes
AO,2014,def,5100000,tonnes
AO,2015,def,5200000,tonnes
AO,2016,def,5000000,tonnes
AO,2017,def,2570000,tonnes
AO,2018,def,2680000,tonnes
AO,2019,def,2470000,tonnes
AO,2020,def,2720000,tonnes
AO,2021,def,3100000,tonnes
AR,2007,def,9602000,tonnes
AR,2008,def,9703000,tonnes
AR,2009,def,9385000,tonnes
AR,2010,def,10423000,tonnes
AR,2011,def,11592000,tonnes
AR,2012,def,10716000,tonnes
AR,2013,def,11892000,tonnes
AR,2014,def,11408000,tonnes
AR,2015,def,11000000,tonnes
AR,2016,def,11000000,tonnes
AR,2017,def,11960000,tonnes
AR,2018,def,11842000,tonnes
AR,2019,def,11082000,tonnes
AR,2020,def,9871000,tonnes
AR,2021,def,12126000,tonnes
AM,2007,def,722000,tonnes
AM,2008,def,770000,tonnes
AM,2009,def,467000,tonnes
AM,2010,def,488000,tonnes
AM,2011,def,500000,tonnes
AM,2012,def,438000,tonnes
AM,2013,def,431000,tonnes
AM,2014,def,422000,tonnes
AM,2015,def,417000,tonnes
AM,2016,def,268000,tonnes
AM,2017,def,356000,tonnes
AM,2018,def,546000,tonnes
AM,2019,def,591000,tonnes
AM,2020,def,715000,tonnes
AM,2021,def,853000,tonnes
AU,2007,def,9200000,tonnes
AU,2008,def,9400000,tonnes
AU,2009,def,9200000,tonnes
AU,2010,def,9000000,tonnes
AU,2011,def,9100000,tonnes
AU,2012,def,8500000,tonnes
AU,2013,def,8400000,tonnes
AU,2014,def,9000000,tonnes
AU,2015,def,9100000,tonnes
AU,2016,def,9000000,tonnes
AU,2017,def,9700000,tonnes
AU,2018,def,10200000,tonnes
AU,2019,def,9900000,tonnes
AU,2020,def,9600000,tonnes
AU,2021,def,9800000,tonnes
AT,2007,def,5203000,tonnes
AT,2008,def,5309000,tonnes
AT,2009,def,4646000,tonnes
AT,2010,def,4254000,tonnes
AT,2011,def,4427000,tonnes
AT,2012,def,4455000,tonnes
AT,2013,def,4385000,tonnes
AT,2014,def,4500000,tonnes
AT,2015,def,4700000,tonnes
AT,2016,def,4600000,tonnes
AT,2017,def,5058000,tonnes
