year,region,mortar_type,property,value,unit
2006,CN,rendering,def,0.524,fraction
2006,CN,rendering,min,0.24,fraction
2006,CN,rendering,max,0.725,fraction
2006,CN,rendering,abs_min,0,fraction
2006,CN,rendering,abs_max,1,fraction
2006,CN,masonry,def,0.188,fraction
2006,CN,masonry,min,0.017,fraction
2006,CN,masonry,max,0.522,fraction
2006,CN,masonry,abs_min,0,fraction
2006,CN,masonry,abs_max,1,fraction
2006,CN,maintenance and repairing,def,0.332,fraction
2006,CN,maintenance and repairing,min,0.133,fraction
2006,CN,maintenance and repairing,max,0.599,fraction
2006,CN,maintenance and repairing,abs_min,0,fraction
2006,CN,maintenance and repairing,abs_max,1,fraction
2006,EUR,rendering,def,0.524,fraction
2006,EUR,rendering,min,0.24,fraction
2006,EUR,rendering,max,0.725,fraction
2006,EUR,rendering,abs_min,0,fraction
2006,EUR,rendering,abs_max,1,fraction
2006,EUR,mansonry,def,0.188,fraction
2006,EUR,mansonry,min,0.017,fraction
2006,EUR,mansonry,max,0.522,fraction
2006,EUR,mansonry,abs_min,0,fraction
2006,EUR,mansonry,abs_max,1,fraction
2006,EUR,maintenance and repairing,def,0.332,fraction
2006,EUR,maintenance and repairing,min,0.133,fraction
2006,EUR,maintenance and repairing,max,0.599,fraction
2006,EUR,maintenance and repairing,abs_min,0,fraction
2006,EUR,maintenance and repairing,abs_max,1,fraction
2006,US,rendering,def,0.394,fraction
2006,US,rendering,min,0.129,fraction
2006,US,rendering,max,0.572,fraction
2006,US,rendering,abs_min,0,fraction
2006,US,rendering,abs_max,1,fraction
2006,US,mansonry,def,0.328,fraction
2006,US,mansonry,min,0.125,fraction
2006,US,mansonry,max,0.438,fraction
2006,US,mansonry,abs_min,0,fraction
2006,US,mansonry,abs_max,1,fraction
2006,US,maintenance and repairing,def,0.318,fraction
2006,US,maintenance and repairing,min,0.126,fraction
2006,US,maintenance and repairing,max,0.722,fraction
2006,US,maintenance and repairing,abs_min,0,fraction
2006,US,maintenance and repairing,abs_max,1,fraction
2006,IN,rendering,def,0.524,fraction
2006,IN,rendering,min,0.24,fraction
2006,IN,rendering,max,0.725,fraction
2006,IN,rendering,abs_min,0,fraction
2006,IN,rendering,abs_max,1,fraction
2006,IN,mansonry,def,0.188,fraction
2006,IN,mansonry,min,0.017,fraction
2006,IN,mansonry,max,0.522,fraction
2006,IN,mansonry,abs_min,0,fraction
2006,IN,mansonry,abs_max,1,fraction
2006,IN,maintenance and repairing,def,0.332,fraction
2006,IN,maintenance and repairing,min,0.133,fraction
2006,IN,maintenance and repairing,max,0.599,fraction
2006,IN,maintenance and repairing,abs_min,0,fraction
2006,IN,maintenance and repairing,abs_max,1,fraction
2006,World,rendering,def,0.524,fraction
2006,World,rendering,min,0.24,fraction
2006,World,rendering,max,0.725,fraction
2006,World,rendering,abs_min,0,fraction
2006,World,rendering,abs_max,1,fraction
2006,World,mansonry,def,0.188,fraction
2006,World,mansonry,min,0.017,fraction
2006,World,mansonry,max,0.522,fraction
2006,World,mansonry,abs_min,0,fraction
2006,World,mansonry,abs_max,1,fraction
2006,World,maintenance and repairing,def,0.332,fraction
2006,World,maintenance and repairing,min,0.133,fraction
2006,World,maintenance and repairing,max,0.599,fraction
2006,World,maintenance and repairing,abs_min,0,fraction
2006,World,maintenance and repairing,abs_max,1,fraction
