Period,Net Income,Depreciation,CapEx,Working Capital Change,Owner Earnings
2024,210000000.0,320000000.0,-80000000.0,-1746000000.0,-1296000000.0
2023,450000000.0,376000000.0,-15000000.0,217000000.0,1028000000.0
2022,-1587000000.0,1135000000.0,-468000000.0,-0.0,-920000000.0
2021,-135000000.0,116000000.0,-557000000.0,-546000000.0,-1122000000.0
2020,-171000000.0,82000000.0,-360000000.0,-961448000.0,-1410448000.0
2019,-115000000.0,47000000.0,-231000000.0,-161209000.0,-460209000.0
2018,-61062000.0,25844000.0,-143668000.0,-149656000.0,-328542000.0
2017,-64491000.0,13214000.0,-78490000.0,-104864000.0,-234631000.0
2016,-93112000.0,4658000.0,-39539000.0,-30413000.0,-158406000.0
2015,-4009000.0,2800000.0,-13950000.0,0.0,-15159000.0
