Gene,C,Z,Pval,FDR,Module
ENSG00000251562,0.5778225499258652,704.7269511619432,0.0,0.0,6.0
ENSG00000047457,0.566510590209901,426.3694077037018,0.0,0.0,6.0
ENSG00000229807,0.44902396534125966,299.17697466553074,0.0,0.0,6.0
ENSG00000171557,0.43813195564293483,267.12115194696247,0.0,0.0,6.0
ENSG00000245532,0.4128821072297285,261.9115816811509,0.0,0.0,6.0
ENSG00000115461,0.509577290334143,230.7995280996821,0.0,0.0,6.0
ENSG00000157514,0.5374535073712903,216.06463425682327,0.0,0.0,3.0
ENSG00000125148,0.477781687253294,206.14196464093902,0.0,0.0,3.0
ENSG00000129151,0.5464110317029154,201.48245143925828,0.0,0.0,4.0
ENSG00000162998,0.44449090340677905,186.29450526135005,0.0,0.0,6.0
ENSG00000187193,0.3618158601570653,179.48665114789523,0.0,0.0,3.0
ENSG00000163430,0.3975042029749179,173.4377042777471,0.0,0.0,6.0
ENSG00000137731,0.4681235822975653,170.03174015727342,0.0,0.0,4.0
ENSG00000118271,0.2579426253185074,169.94745092401234,0.0,0.0,6.0
ENSG00000135919,0.3412543859642669,162.55454418812712,0.0,0.0,6.0
ENSG00000062716,0.25935982767429133,158.6190306557838,0.0,0.0,6.0
ENSG00000146278,0.4288059485538992,157.94727873291552,0.0,0.0,3.0
ENSG00000120129,0.41166068841398706,156.10493979852268,0.0,0.0,3.0
ENSG00000004799,0.3764682544022952,154.16272852602793,0.0,0.0,3.0
ENSG00000167772,0.34274241431300223,150.68336921846168,0.0,0.0,3.0
ENSG00000170345,0.3136199559455992,149.23754810050042,0.0,0.0,3.0
ENSG00000185112,0.3030819026615688,149.14684868465852,0.0,0.0,6.0
ENSG00000013297,0.38760498697391627,144.79835937968585,0.0,0.0,10.0
ENSG00000248323,0.23567892145256814,144.64908147991613,0.0,0.0,6.0
ENSG00000166598,0.39284141892548635,143.59045627615063,0.0,0.0,9.0
ENSG00000136872,0.16368570591268358,143.10785541902757,0.0,0.0,4.0
ENSG00000265972,0.2567867973364706,140.68668287288241,0.0,0.0,3.0
ENSG00000197249,0.3141962892198999,139.54561409626422,0.0,0.0,11.0
ENSG00000149257,0.3363500814247176,139.47972672528718,0.0,0.0,6.0
ENSG00000130208,0.285226399035412,139.26232089307257,0.0,0.0,3.0
ENSG00000125730,0.3829787839245623,138.317260337822,0.0,0.0,9.0
ENSG00000159403,0.4150052902036351,137.51673430282352,0.0,0.0,9.0
ENSG00000100079,0.49997984071163926,135.41683028882957,0.0,0.0,4.0
ENSG00000143878,0.3841011118958262,134.5157767965449,0.0,0.0,3.0
ENSG00000128016,0.3763582745429991,133.84831831691892,0.0,0.0,3.0
ENSG00000081800,0.1739002607926971,130.2813478168338,0.0,0.0,4.0
ENSG00000143753,0.31150545991369183,130.2586728251895,0.0,0.0,9.0
ENSG00000102854,0.08267440714041298,127.95692804665252,0.0,0.0,13.0
ENSG00000243678,0.3282223931023057,127.08357316077027,0.0,0.0,4.0
ENSG00000067082,0.3504437426265428,126.626067532514,0.0,0.0,3.0
ENSG00000113369,0.28754070783110935,124.4404479859037,0.0,0.0,6.0
ENSG00000182326,0.4809624491241017,124.29040851161643,0.0,0.0,9.0
ENSG00000139194,0.4666828064505931,123.94346038844257,0.0,0.0,4.0
ENSG00000138079,0.5258618050174153,123.62923877529782,0.0,0.0,2.0
ENSG00000044574,0.22263748419356957,122.50409626804225,0.0,0.0,9.0
ENSG00000243955,0.35806889740101144,121.7042877450303,0.0,0.0,4.0
ENSG00000164292,0.3971392761928264,119.99238906464382,0.0,0.0,6.0
ENSG00000066813,0.5059400728593157,119.63688746198417,0.0,0.0,2.0
ENSG00000019582,0.4413266163531342,118.49702760832018,0.0,0.0,10.0
ENSG00000095932,0.4439394240304492,118.48057411838361,0.0,0.0,2.0
ENSG00000136244,0.1889452322785752,116.92651439411064,0.0,0.0,6.0
ENSG00000164266,0.2722390602311137,116.91287998451922,0.0,0.0,11.0
ENSG00000184678,0.14578310848693485,116.27674444138371,0.0,0.0,6.0
ENSG00000106236,0.3304316076345294,115.82891298771978,0.0,0.0,10.0
ENSG00000102109,0.29794514380445686,115.33878603942874,0.0,0.0,8.0
ENSG00000176945,0.23627838422466593,115.30629404671109,0.0,0.0,6.0
ENSG00000182919,0.5783064975106327,115.18193120544971,0.0,0.0,2.0
ENSG00000166741,0.5614469181369048,114.53127727722567,0.0,0.0,1.0
ENSG00000168209,0.35971733579209597,114.0693071807663,0.0,0.0,3.0
ENSG00000155660,0.2903190044168826,113.65249781219956,0.0,0.0,9.0
ENSG00000170315,0.3606542038871307,113.23510036094265,0.0,0.0,2.0
ENSG00000166840,0.3159462783981931,112.56304096028704,0.0,0.0,4.0
ENSG00000148671,0.5502655739252017,112.20445587447996,0.0,0.0,2.0
ENSG00000147003,0.4493604385356978,112.01974036800284,0.0,0.0,2.0
ENSG00000244067,0.46403656764342854,110.97863934116505,0.0,0.0,4.0
ENSG00000112715,0.2984122328626599,110.89536443112459,0.0,0.0,3.0
ENSG00000171564,0.24913311327276594,110.53817683271379,0.0,0.0,10.0
ENSG00000026297,0.5938203424476658,109.9357609487537,0.0,0.0,1.0
ENSG00000164406,0.19900618776665743,109.93462317525271,0.0,0.0,4.0
ENSG00000132703,0.27711567911824,109.39375390489425,0.0,0.0,11.0
ENSG00000213988,0.465514869444984,108.7853472432107,0.0,0.0,3.0
ENSG00000164434,0.445498238912716,108.74851878760218,0.0,0.0,6.0
ENSG00000059804,0.2077426842985905,108.38112248237508,0.0,0.0,6.0
ENSG00000182240,0.3271059386209548,107.44956537234451,0.0,0.0,10.0
ENSG00000266402,0.439354658485193,107.04731203964552,0.0,0.0,1.0
ENSG00000112096,0.4637190748951299,106.77003834659045,0.0,0.0,1.0
ENSG00000120885,0.5310337626499093,106.5227341911356,0.0,0.0,9.0
ENSG00000197956,0.46146226694203046,105.66026074692417,0.0,0.0,7.0
ENSG00000077942,0.256015802591995,104.65258131075099,0.0,0.0,6.0
ENSG00000149131,0.39654994404948873,104.31572543376176,0.0,0.0,9.0
ENSG00000147872,0.34948503802239056,104.21865776097282,0.0,0.0,2.0
ENSG00000171560,0.24696413622577054,103.41899067513158,0.0,0.0,10.0
ENSG00000105974,0.5289404823651427,103.16785665224785,0.0,0.0,3.0
ENSG00000125740,0.34356221630283684,102.98509447506066,0.0,0.0,3.0
ENSG00000136810,0.34414306135051054,101.88320140978949,0.0,0.0,7.0
ENSG00000178776,0.2580198100878426,101.17810141140352,0.0,0.0,6.0
ENSG00000113140,0.2678880470945806,100.32859825619624,0.0,0.0,6.0
ENSG00000167644,0.6102664089037988,100.25262831134656,0.0,0.0,1.0
ENSG00000164611,0.49935938768324395,99.89485823971548,0.0,0.0,5.0
ENSG00000185339,0.3267458890306122,99.4168321359683,0.0,0.0,9.0
ENSG00000111640,0.6044167750315018,98.38654449695225,0.0,0.0,7.0
ENSG00000103534,0.2927979157199842,97.24543236646404,0.0,0.0,11.0
ENSG00000171234,0.556990211746861,96.97565347306887,0.0,0.0,2.0
ENSG00000117472,0.5767954325107418,96.82774328709492,0.0,0.0,1.0
ENSG00000115009,0.11910399927417001,96.60692975979349,0.0,0.0,16.0
ENSG00000165272,0.3363209231735307,96.11484434418995,0.0,0.0,1.0
ENSG00000169715,0.38311018419831433,95.33507274889428,0.0,0.0,1.0
ENSG00000183747,0.4961675952823775,94.93393423334494,0.0,0.0,2.0
ENSG00000172264,0.5914075009211283,94.23301200411326,0.0,0.0,1.0
ENSG00000000971,0.24819210594113278,93.89451697879227,0.0,0.0,11.0
ENSG00000113389,0.28651567739214867,93.29898388161801,0.0,0.0,8.0
ENSG00000164825,0.5065762077584599,93.03132647317854,0.0,0.0,1.0
ENSG00000100342,0.47660293766003914,92.26336301851532,0.0,0.0,1.0
ENSG00000026025,0.5046917070305605,91.0709131173281,0.0,0.0,3.0
