potential_LAMMPS_id,composition,a
2006--Williams-P-L--Ag--LAMMPS--ipr1,Ag,3.238594909610306
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr2,Mo,5.261915353107276
2012--Proville-L--Fe--LAMMPS--ipr1,Fe,7.03597493497164
2013--Bonny-G--Fe-W--LAMMPS--ipr1,Fe,2.855324619017342
2015--Wilson-S-R--Na--LAMMPS--ipr1,Na,2.405484487829167
2013--Onat-B--Cu-Ni--LAMMPS--ipr2,Ni,1.4908928352848803
1990--Ackland-G-J--Cu-Ag-Au--LAMMPS--ipr1,Cu,2.838163419784792
2010--Mendelev-M-I--fictional-Al-2--LAMMPS--ipr1,Al,2.9384245511264075
2022--Sun-Y--Fe--LAMMPS--ipr1,Fe,2.8436425849889666
2006--Williams-P-L--Cu-Ag--LAMMPS--ipr1,Ag,3.2385949075084333
2017--Wang-P--TWIP--LAMMPS--ipr2,meta_TWIP,2.8690975466057704
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Fe,6.5237739123108485
2018--Setyawan-W--W-Re--LAMMPS--ipr1,W,7.840850032466281
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr2,Ni,6.512511036458981
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Au,3.2368726885729764
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pd,3.086859384386809
2013--Bonny-G--Fe-Cu-Ni-Mn--LAMMPS--ipr1,Mn,2.6245936400852394
2021--Chen-Y--W-Ta-He--LAMMPS--ipr1,W,3.165199834302774
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr1,Xe,5.364735627804826
2016--Zhang-Y--Ni-Nb--LAMMPS--ipr1,Nb,3.3023736761275937
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr2,Ni,6.189194885712791
