,family,potential_LAMMPS_id,composition,num_melts,T_melt_mean,T_melt_std
0,A1--Cu--fcc,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,Cu,10,1250.6891838005477,2.8107806610185704
1,A1--Cu--fcc,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,Ni,10,1817.6453062387634,3.671644321757773
2,A1--Cu--fcc,1986--Foiles-S-M--Ag--LAMMPS--ipr1,Ag,10,1144.5255333851298,2.5108886321747956
3,A1--Cu--fcc,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Ag,10,1144.5255333851298,2.5108886321747956
4,A1--Cu--fcc,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Au,10,1104.601037058744,6.026024692590816
5,A1--Cu--fcc,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Cu,10,1279.7187164767488,3.15157842908129
6,A1--Cu--fcc,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Ni,10,1708.2161993637187,4.622296435477034
7,A1--Cu--fcc,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pd,10,1422.5131580749098,5.493095473414719
8,A1--Cu--fcc,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pt,10,1534.0698021068004,3.3655870399671386
9,A1--Cu--fcc,1986--Foiles-S-M--Au--LAMMPS--ipr1,Au,10,1104.601037058744,6.026024692590815
10,A1--Cu--fcc,1986--Foiles-S-M--Cu--LAMMPS--ipr1,Cu,10,1279.7187164767488,3.1515784290812894
11,A1--Cu--fcc,1986--Foiles-S-M--Ni--LAMMPS--ipr1,Ni,10,1708.2161993637187,4.622296435477034
12,A1--Cu--fcc,1986--Foiles-S-M--Pd--LAMMPS--ipr1,Pd,10,1422.5131580749098,5.493095473414719
