year,region,activity,emission,property,value,unit
2015,World,by-product_recovery,CO2,def,0.55,t/t
2015,World,by-product_recovery,CO2,min,0.495,t/t
2015,World,by-product_recovery,CO2,max,0.605,t/t
2015,World,by-product_recovery,CO2,abs_min,0.0,t/t
2015,World,by-product_recovery,CO2,abs_max,inf,t/t
2015,World,by-product_recovery,CH4,def,0.00006,t/t
2015,World,by-product_recovery,CH4,min,0.000054,t/t
2015,World,by-product_recovery,CH4,max,0.000066,t/t
2015,World,by-product_recovery,CH4,abs_min,0.0,t/t
2015,World,by-product_recovery,CH4,abs_max,inf,t/t
2015,World,no_by-product_recovery,CO2,def,1.23,t/t
2015,World,no_by-product_recovery,CO2,min,1.107,t/t
2015,World,no_by-product_recovery,CO2,max,1.353,t/t
2015,World,no_by-product_recovery,CO2,abs_min,0.0,t/t
2015,World,no_by-product_recovery,CO2,abs_max,inf,t/t
2015,World,no_by-product_recovery,CH4,def,0.00023,t/t
2015,World,no_by-product_recovery,CH4,min,0.000207,t/t
2015,World,no_by-product_recovery,CH4,max,0.000253,t/t
2015,World,no_by-product_recovery,CH4,abs_min,0.0,t/t
2015,World,no_by-product_recovery,CH4,abs_max,inf,t/t
