year,region,activity,product,reference_output,property,value,unit
2015,World,by-product_recovery,coking_coal,CO2,def,0.11385,t/t
2015,World,by-product_recovery,coking_coal,CO2,min,0.09108,t/t
2015,World,by-product_recovery,coking_coal,CO2,max,0.13662,t/t
2015,World,by-product_recovery,coking_coal,CO2,abs_min,0.0,t/t
2015,World,by-product_recovery,coking_coal,CO2,abs_max,1.0,t/t
2015,World,by-product_recovery,coking_coal,CH4,def,0.00015,t/t
2015,World,by-product_recovery,coking_coal,CH4,min,0.00012,t/t
2015,World,by-product_recovery,coking_coal,CH4,max,0.00018,t/t
2015,World,by-product_recovery,coking_coal,CH4,abs_min,0.0,t/t
2015,World,by-product_recovery,coking_coal,CH4,abs_max,1.0,t/t
2015,World,no_by-product_recovery,coking_coal,CO2,def,0.12196,t/t
2015,World,no_by-product_recovery,coking_coal,CO2,min,0.097568,t/t
2015,World,no_by-product_recovery,coking_coal,CO2,max,0.146352,t/t
2015,World,no_by-product_recovery,coking_coal,CO2,abs_min,0.0,t/t
2015,World,no_by-product_recovery,coking_coal,CO2,abs_max,1.0,t/t
2015,World,no_by-product_recovery,coking_coal,CH4,def,0.00014,t/t
2015,World,no_by-product_recovery,coking_coal,CH4,min,0.000112,t/t
2015,World,no_by-product_recovery,coking_coal,CH4,max,0.000168,t/t
2015,World,no_by-product_recovery,coking_coal,CH4,abs_min,0.0,t/t
2015,World,no_by-product_recovery,coking_coal,CH4,abs_max,1.0,t/t
