Gene,C,Z,Pval,FDR,Module
ENSG00000120885,0.4008173057502387,2771.918785968449,0.0,0.0,10.0
ENSG00000014257,0.25163165744559174,2193.780166127914,0.0,0.0,10.0
ENSG00000213741,0.4513842217906,1217.721860114675,0.0,0.0,15.0
ENSG00000125730,0.45259836610790016,1135.1318855418035,0.0,0.0,10.0
ENSG00000129538,0.392828939348423,1119.7529914582196,0.0,0.0,9.0
ENSG00000243710,0.2353335957497292,1083.0396239994022,0.0,0.0,10.0
ENSG00000133048,0.3399188904793017,1007.2112342969605,0.0,0.0,10.0
ENSG00000117724,0.6477638250803125,1002.6505087461496,0.0,0.0,2.0
ENSG00000165949,0.5142333302015532,1000.5412373384652,0.0,0.0,4.0
ENSG00000019582,0.5459309970932894,991.0748998936346,0.0,0.0,10.0
ENSG00000245532,0.4606701776205832,959.0793637550423,0.0,0.0,10.0
ENSG00000185215,0.3954585131340925,948.8728410630737,0.0,0.0,4.0
ENSG00000126709,0.44772730871842537,924.0405343510082,0.0,0.0,4.0
ENSG00000121858,0.3261807054362006,917.0308316424447,0.0,0.0,10.0
ENSG00000177989,0.6585251172089941,911.9346591504568,0.0,0.0,1.0
ENSG00000179902,0.6528042167279825,878.3374503147755,0.0,0.0,1.0
ENSG00000251562,0.4579442364530035,877.638180155669,0.0,0.0,10.0
ENSG00000166710,0.5394015468830651,862.362058394386,0.0,0.0,4.0
ENSG00000112715,0.39853189350706236,861.6237719765791,0.0,0.0,8.0
ENSG00000117394,0.5055884588534849,859.6074078772508,0.0,0.0,8.0
ENSG00000120738,0.4342952525072667,836.0536867516255,0.0,0.0,6.0
ENSG00000234745,0.565891566924681,833.1530490883367,0.0,0.0,4.0
ENSG00000183087,0.46563707320225883,814.8848218479967,0.0,0.0,21.0
ENSG00000156804,0.2580978373338415,804.6793569141454,0.0,0.0,10.0
ENSG00000243910,0.5362075956513473,800.4677809975155,0.0,0.0,1.0
ENSG00000188931,0.49506801789636407,776.139179053141,0.0,0.0,1.0
ENSG00000124766,0.4013649145933545,770.4136950646267,0.0,0.0,14.0
ENSG00000122884,0.38896702786765847,765.1721054846838,0.0,0.0,8.0
ENSG00000173193,0.46742673603521906,761.2173429490359,0.0,0.0,4.0
ENSG00000204287,0.5021627967383064,761.1465496811574,0.0,0.0,12.0
ENSG00000170873,0.3764387876757779,758.2385608382683,0.0,0.0,21.0
ENSG00000215217,0.7123487660270765,751.0986451024233,0.0,0.0,1.0
ENSG00000262655,0.39248526880695883,747.6146682445743,0.0,0.0,19.0
ENSG00000204525,0.48547039316463475,746.5100620190045,0.0,0.0,4.0
ENSG00000206503,0.49200724025508064,740.2175839160956,0.0,0.0,4.0
ENSG00000164611,0.6355932253024117,740.0258320522807,0.0,0.0,2.0
ENSG00000132530,0.4099888599303413,731.615749023232,0.0,0.0,4.0
ENSG00000198502,0.46099041401216967,723.656658659979,0.0,0.0,12.0
ENSG00000124237,0.7515921628840495,721.5849557184109,0.0,0.0,1.0
ENSG00000152611,0.6371257095645334,709.7486494447999,0.0,0.0,1.0
