Gene,C,Z,Pval,FDR,Module
ENSG00000197943,0.32274676748068365,2956.61714288455,0.0,0.0,13.0
ENSG00000174501,0.4428311649566552,2702.4161237513954,0.0,0.0,2.0
ENSG00000215182,0.6549739602031237,2248.462467539841,0.0,0.0,2.0
ENSG00000184956,0.5629262029814205,1981.836123130188,0.0,0.0,11.0
ENSG00000163499,0.4127718657518582,1753.011557162767,0.0,0.0,4.0
ENSG00000166922,0.48876093317573494,1536.9484235766715,0.0,0.0,4.0
ENSG00000151726,0.7157217490721957,1457.81846984454,0.0,0.0,1.0
ENSG00000276410,0.29257979070226997,1330.8319039177727,0.0,0.0,3.0
ENSG00000157017,0.6486530587028674,1322.4281900761468,0.0,0.0,1.0
ENSG00000118271,0.39352538911310225,1295.63465777252,0.0,0.0,4.0
ENSG00000278677,0.38453096186409685,1290.168907270596,0.0,0.0,3.0
ENSG00000203697,0.5626811919937502,1256.382994193832,0.0,0.0,2.0
ENSG00000165507,0.47351218936499534,1221.4965658516355,0.0,0.0,1.0
ENSG00000177606,0.6732515670334857,1207.1456843191854,0.0,0.0,1.0
ENSG00000132639,0.4920655831654403,1157.6014503191145,0.0,0.0,1.0
ENSG00000183607,0.608299162223646,1134.790128554394,0.0,0.0,2.0
ENSG00000125999,0.43926459970696413,1085.190287129424,0.0,0.0,11.0
ENSG00000079689,0.6056571934205951,1066.1493596394093,0.0,0.0,1.0
ENSG00000169605,0.4275731198472969,1041.2069624560777,0.0,0.0,2.0
ENSG00000102109,0.6191793696943378,996.2224311569103,0.0,0.0,4.0
ENSG00000117461,0.33872138676774954,940.2648356296944,0.0,0.0,3.0
ENSG00000159388,0.6166939081768339,934.8011992364169,0.0,0.0,1.0
ENSG00000172156,0.2897609615140042,927.6941672858857,0.0,0.0,18.0
ENSG00000145321,0.40975672227175486,925.2795556173389,0.0,0.0,1.0
ENSG00000176956,0.44242694713802383,912.2542681233374,0.0,0.0,1.0
ENSG00000204103,0.269422541601954,909.1092468331645,0.0,0.0,1.0
ENSG00000162992,0.425880429176235,892.3016101759334,0.0,0.0,1.0
ENSG00000109472,0.5886429715087568,887.8470434466611,0.0,0.0,1.0
ENSG00000129538,0.49246890305091373,812.9980694842934,0.0,0.0,2.0
ENSG00000171916,0.33535330115444506,811.0084087488257,0.0,0.0,2.0
ENSG00000276903,0.2868197033027092,807.3886134574285,0.0,0.0,3.0
ENSG00000211892,0.41429326368908215,800.6084197854153,0.0,0.0,18.0
ENSG00000245532,0.5072640166665592,785.3306737995287,0.0,0.0,2.0
ENSG00000099860,0.5136469576737279,785.2266698865736,0.0,0.0,1.0
ENSG00000266402,0.5037552630045787,778.2174879509234,0.0,0.0,13.0
ENSG00000166959,0.520181261389415,777.5746199600977,0.0,0.0,1.0
ENSG00000006071,0.3046697118118193,774.2754693227231,0.0,0.0,4.0
ENSG00000105641,0.17768725638865668,759.7680969249764,0.0,0.0,2.0
ENSG00000204389,0.5268288864160116,752.166217427318,0.0,0.0,1.0
ENSG00000104112,0.6009835359366272,750.7763771347559,0.0,0.0,4.0
ENSG00000156966,0.37851854035375254,737.4233822208278,0.0,0.0,18.0
ENSG00000095981,0.3314585633985919,719.1352701804725,0.0,0.0,4.0
ENSG00000145198,0.5284197640824387,706.8936959910458,0.0,0.0,4.0
ENSG00000173530,0.3257321566223575,705.0990319147493,0.0,0.0,3.0
ENSG00000167552,0.43307386521547186,695.5483801215554,0.0,0.0,4.0
ENSG00000108551,0.2764844594326714,679.3830168202335,0.0,0.0,1.0
ENSG00000086619,0.3620656921695182,678.2590256921992,0.0,0.0,4.0
ENSG00000164287,0.13951472334783052,676.8081248059053,0.0,0.0,3.0
ENSG00000168631,0.4378018208940943,672.038629702466,0.0,0.0,2.0
ENSG00000185002,0.47973842724639737,670.5300118650628,0.0,0.0,1.0
ENSG00000114115,0.31064784144209917,670.1420050194948,0.0,0.0,1.0
ENSG00000188175,0.5226776807916124,667.3422878076723,0.0,0.0,1.0
ENSG00000229807,0.3242827261189002,660.5026557227294,0.0,0.0,2.0
ENSG00000178597,0.25773185502393947,656.8217084108155,0.0,0.0,2.0
ENSG00000287080,0.22852337486422622,648.4421777148418,0.0,0.0,3.0
ENSG00000165105,0.3874585261195926,645.4611840066407,0.0,0.0,2.0
ENSG00000275714,0.22110447418437396,643.0932599716284,0.0,0.0,3.0
ENSG00000111215,0.21350304332838715,639.3913874616076,0.0,0.0,11.0
ENSG00000166165,0.4895261652188066,637.3382355501114,0.0,0.0,11.0
ENSG00000109072,0.3840389435799705,636.0886705945173,0.0,0.0,1.0
ENSG00000133169,0.45212595259175803,633.8948283707407,0.0,0.0,1.0
ENSG00000162772,0.6195506670408149,632.0392327695415,0.0,0.0,1.0
ENSG00000211592,0.4536208738504397,629.7327331991931,0.0,0.0,13.0
ENSG00000132872,0.35447323337248393,622.7260911918753,0.0,0.0,1.0
ENSG00000090382,0.5453417761839363,597.1988833071405,0.0,0.0,11.0
ENSG00000160888,0.5274265517805404,592.048367069268,0.0,0.0,1.0
