Gene,C,Z,Pval,FDR,Module
ENSG00000003436,0.47806840310477833,5396.460846186162,0.0,0.0,-1.0
ENSG00000171105,0.1427270337205926,4720.134301057535,0.0,0.0,2.0
ENSG00000160472,0.6585955668326314,3987.265131752022,0.0,0.0,1.0
ENSG00000243910,0.5303224293891691,3081.263957725248,0.0,0.0,1.0
ENSG00000179902,0.6409140137932756,3056.9863630161212,0.0,0.0,1.0
ENSG00000164972,0.47368935917675187,2875.0694258445737,0.0,0.0,1.0
ENSG00000188817,0.6236238190080543,2734.6314366243773,0.0,0.0,1.0
ENSG00000171209,0.3280300971571083,2692.317736984044,0.0,0.0,34.0
ENSG00000183644,0.42121342912286064,2592.5079563536665,0.0,0.0,1.0
ENSG00000124237,0.63129100821463,2542.18217171396,0.0,0.0,1.0
ENSG00000115461,0.3509098814780943,1940.6952948999378,0.0,0.0,2.0
ENSG00000139352,0.6056898344165629,1859.2167924503824,0.0,0.0,5.0
ENSG00000186973,0.597861099351289,1839.1122781556162,0.0,0.0,1.0
ENSG00000112297,0.5815143770896526,1827.0105043686444,0.0,0.0,11.0
ENSG00000168209,0.43089407818919806,1787.4368594554614,0.0,0.0,4.0
ENSG00000159713,0.5417458926051952,1730.7981404553313,0.0,0.0,1.0
ENSG00000170367,0.28894450724654114,1712.25372371475,0.0,0.0,35.0
ENSG00000121769,0.2850509788043673,1582.62187292967,0.0,0.0,17.0
ENSG00000167858,0.34179976134156814,1547.296288111231,0.0,0.0,1.0
ENSG00000110484,0.5491775918147997,1534.7715277756176,0.0,0.0,20.0
ENSG00000162004,0.5125014789455137,1529.1162315753957,0.0,0.0,1.0
ENSG00000272398,0.6884749088256386,1528.8547868526678,0.0,0.0,11.0
ENSG00000123610,0.34478003206549523,1425.4845379491323,0.0,0.0,4.0
ENSG00000159212,0.35591141203329646,1420.2608851672242,0.0,0.0,32.0
ENSG00000170345,0.5491970921902232,1383.487902097761,0.0,0.0,2.0
ENSG00000163435,0.4667962972148098,1325.711939970083,0.0,0.0,2.0
ENSG00000126861,0.24583863628264638,1283.0344013129134,0.0,0.0,1.0
ENSG00000251562,0.4187833698224114,1282.2232265150858,0.0,0.0,12.0
ENSG00000153002,0.3571343870550765,1230.997472113227,0.0,0.0,5.0
ENSG00000104763,0.42853948807345577,1225.5961397785934,0.0,0.0,5.0
ENSG00000166803,0.5825685817682431,1189.1811887452259,0.0,0.0,4.0
ENSG00000164919,0.5949248435299676,1188.7920432178885,0.0,0.0,17.0
ENSG00000120694,0.3914605260068495,1181.8811001744946,0.0,0.0,2.0
ENSG00000106211,0.40595822389751757,1135.3552806077914,0.0,0.0,2.0
ENSG00000148671,0.4174451564545226,1131.0332491746324,0.0,0.0,17.0
ENSG00000142875,0.45101260604798243,1122.589629075226,0.0,0.0,5.0
ENSG00000159388,0.5170835932908033,1109.2430944439402,0.0,0.0,2.0
ENSG00000187492,0.34619389155480895,1063.1168150041665,0.0,0.0,1.0
ENSG00000148513,0.3541485240961262,1060.1095658613226,0.0,0.0,12.0
ENSG00000075886,0.26738780332377093,1056.5388355708521,0.0,0.0,12.0
ENSG00000171223,0.5498222435212582,1047.9080423789862,0.0,0.0,2.0
ENSG00000091831,0.5117740602598242,1046.7600035012542,0.0,0.0,12.0
ENSG00000128016,0.5766003230983817,1027.035628954182,0.0,0.0,2.0
ENSG00000099860,0.3748901119998042,1018.6704657780244,0.0,0.0,2.0
ENSG00000147485,0.36731592181025075,1011.8283647326923,0.0,0.0,31.0
ENSG00000114315,0.2719311739544546,1004.7534622296091,0.0,0.0,2.0
ENSG00000160789,0.44387544407339513,1002.1963180121311,0.0,0.0,2.0
ENSG00000172236,0.2122381162768599,984.8761330027966,0.0,0.0,17.0
ENSG00000162772,0.49447807217510475,982.7694919382737,0.0,0.0,2.0
ENSG00000186847,0.38114397193142247,966.6169797094996,0.0,0.0,4.0
ENSG00000003989,0.4149382780318406,966.3980420431162,0.0,0.0,5.0
ENSG00000123358,0.4501998905131777,964.0972249926241,0.0,0.0,2.0
ENSG00000177606,0.5238761782646907,962.9411996098104,0.0,0.0,2.0
ENSG00000143384,0.3881928543179512,956.8180213132231,0.0,0.0,2.0
ENSG00000120251,0.35708211536172607,956.1756660144208,0.0,0.0,5.0
ENSG00000160888,0.4860764611850398,955.6096783926916,0.0,0.0,2.0
ENSG00000196405,0.4405116871327635,930.7577280753368,0.0,0.0,5.0
ENSG00000125968,0.27705053513714506,915.4098990488061,0.0,0.0,4.0
ENSG00000109424,0.19426187199215675,895.82641530501,0.0,0.0,12.0
ENSG00000105011,0.5004137081064188,888.0000798523496,0.0,0.0,4.0
ENSG00000203650,0.3721615879375783,886.733773254779,0.0,0.0,11.0
