letter,number,city
a,35,HARIS
b,11,TEHRAN
b,12,MASHHAD
b,13,ESFAHAN
b,14,AHVAZ
b,15,TABRIZ
b,16,QOM
b,17,URMIA
b,19,KERMANSHAH
b,21,SAHEB-ABAD
b,21,SHAHRIAR
b,22,TEHRAN
b,23,NAGAFABAD
b,24,MAHSHAHR
b,25,MARAGHE
b,26,BOJNOURD
b,26,BOJNOURD
b,27,MIYANDOAB
b,29,ISLAM ABAD GHAR
b,31,KHORAMABAD
b,32,SABZEVAR
b,33,TEHRAN
b,34,KHORRAMSHAHR
b,35,OSKU
b,36,MASHHAD
b,37,URMIA
b,38,VARAMIN
b,41,NOURABAD
b,44,TEHRAN
b,45,KERMAN
b,46,RASHT
b,47,ARAK
b,48,BUSHEHR
b,49,YASUJ
b,51,SANANDAJ
b,52,BIRJAND
b,53,ESFAHAN
b,54,YAZD
b,55,TEHRAN
b,58,BORAZGAN
b,59,GORGAN
b,60,TEHRAN
b,61,SAQQEZ
b,62,SARI
b,63,SHIRAZ
b,64,ARDAKAN
b,65,RAFSANJAN
b,66,TEHRAN
b,67,KASHAN
b,68,KARAJ
b,69,GONBAD KAVUS
b,71,SHAHREKORD
b,72,AMOL
b,73,KAZERUN
b,74,ASHQABAD
b,74,NEYSHABUR
b,75,SHIRAN
b,76,RASHT
b,78,NAZAR-ABAD
b,79,QAZVIN
b,81,BROGEN
b,83,DARAB
b,84,BANDAR ABBAS
b,85,ZAHEDAN
b,86,SEMNAN
b,87,ZANJAN
b,91,ARDEBIL
b,92,CHALOOS
b,94,MINAB
b,95,IRANSHAHR
b,96,SHAHRUD
b,97,KHORRAMDARREH
b,98,ILAM
b,99,TEHRAN
d,11,TEHRAN
d,12,MASHHAD
d,13,ESFAHAN
d,14,AHVAZ
d,15,TABRIZ
d,16,QOM
d,17,MAHABAD
d,19,KERMANSHAH
d,23,SHAHREZA
d,24,DEZFUL
d,25,MIANE
d,26,BOJNOURD
d,26,ESFARAYEN
d,27,MIYANDOAB
d,29,PAWA
d,31,BORUJERD
d,32,TORBAT HEYDARIYEH
d,33,TEHRAN
d,34,SHUSHTAR
d,35,MIANE
d,36,MASHHAD
d,37,TAKAB
d,38,VARAMIN
d,41,DORUD
d,44,TEHRAN
d,45,KERMAN
d,46,FOUMAN
d,47,ARAK
d,48,BUSHEHR
d,49,YASUJ
d,51,QORVEH
d,52,FERDOWS
d,53,ESFAHAN
d,54,YAZD
d,55,TEHRAN
d,58,GENAVEH
d,59,GORGAN
d,60,TEHRAN
d,61,DIVANDARREH
d,62,QAEMSHAHR
d,63,SHIRAZ
d,64,MEYBOD
d,65,BAM
d,66,TEHRAN
d,67,ARDESTAN
d,68,MESHKIN DASHT
d,69,BANDAR TORKAMAN
d,71,SHAHREKORD
d,72,AMOL
d,73,JAHROM
d,74,ASHQABAD
d,75,JIROFT
d,76,RASHT
d,78,ASARA
d,79,QAZVIN
d,81,ARDAL
d,83,NOURABAD
d,84,BANDAR ABBAS
d,85,ZAHEDAN
d,86,SEMNAN
d,87,ZANJAN
d,91,KHALLKHAL
d,92,CHALOOS
d,94,ROODAN
d,95,CHABAHAR
d,96,GARMSAR
d,97,TAROM
d,98,ABADANAN
g,11,TEHRAN
g,12,MASHHAD
g,13,ESFAHAN
g,14,AHVAZ
g,15,TABRIZ
g,16,QOM
g,17,MAKU
g,19,KERMANSHAH
g,22,TEHRAN
g,23,GOLPAYEGAN
g,24,ANDIMESHK
g,25,MARAND
g,26,BOJNOURD
g,26,SHIRVAN
g,27,SAKHES
g,29,SONQOR
g,31,BORUJERD
g,32,GONABAD
g,33,TEHRAN
g,34,SHUSHTAR
g,35,MARAND
g,36,MASHHAD
g,37,SAKHES
g,38,VARAMIN
g,41,KUHDASTAN
g,44,TEHRAN
g,45,KERMAN
g,46,LAHIJAN
g,47,ARAK
g,48,BUSHEHR
g,49,YASUJ
g,51,MARIVAN
g,52,QAEN
g,53,ESFAHAN
g,54,YAZD
g,55,TEHRAN
g,58,GAM
g,59,GORGAN
g,60,TEHRAN
g,61,KAMIARAN
g,62,BABOL
g,63,SHIRAZ
