year,region,crop_type,property,value,unit
2019,World,crop_unsp,def,1.0,ha/ha
2019,World,grain_generic,def,1.0,ha/ha
2019,World,wheat_winter,def,1.0,ha/ha
2019,World,wheat_spring,def,1.0,ha/ha
2019,World,barley,def,1.0,ha/ha
2019,World,oat,def,1.0,ha/ha
2019,World,maize,def,1.0,ha/ha
2019,World,rye,def,1.0,ha/ha
2019,World,millet,def,1.0,ha/ha
2019,World,sorghum,def,1.0,ha/ha
2019,World,bean,def,1.0,ha/ha
2019,World,soybean,def,1.0,ha/ha
2019,World,potato,def,1.0,ha/ha
2019,World,peanut,def,1.0,ha/ha
2019,World,alfalfa,def,1.0,ha/ha
2019,World,hay_non-legume,def,1.0,ha/ha
2019,World,forage_n-fixing,def,1.0,ha/ha
2019,World,forage_non-n-fixing,def,1.0,ha/ha
2019,World,grass-clover,def,1.0,ha/ha
2019,World,crop_unsp,min,1.0,ha/ha
2019,World,grain_generic,min,1.0,ha/ha
2019,World,wheat_winter,min,1.0,ha/ha
2019,World,wheat_spring,min,1.0,ha/ha
2019,World,barley,min,1.0,ha/ha
2019,World,oat,min,1.0,ha/ha
2019,World,maize,min,1.0,ha/ha
2019,World,rye,min,1.0,ha/ha
2019,World,millet,min,1.0,ha/ha
2019,World,sorghum,min,1.0,ha/ha
2019,World,bean,min,1.0,ha/ha
2019,World,soybean,min,1.0,ha/ha
2019,World,potato,min,1.0,ha/ha
2019,World,peanut,min,1.0,ha/ha
2019,World,alfalfa,min,1.0,ha/ha
2019,World,hay_non-legume,min,1.0,ha/ha
2019,World,forage_n-fixing,min,1.0,ha/ha
2019,World,forage_non-n-fixing,min,1.0,ha/ha
2019,World,grass-clover,min,1.0,ha/ha
2019,World,crop_unsp,max,1.0,ha/ha
2019,World,grain_generic,max,1.0,ha/ha
2019,World,wheat_winter,max,1.0,ha/ha
2019,World,wheat_spring,max,1.0,ha/ha
2019,World,barley,max,1.0,ha/ha
2019,World,oat,max,1.0,ha/ha
2019,World,maize,max,1.0,ha/ha
2019,World,rye,max,1.0,ha/ha
2019,World,millet,max,1.0,ha/ha
2019,World,sorghum,max,1.0,ha/ha
2019,World,bean,max,1.0,ha/ha
2019,World,soybean,max,1.0,ha/ha
2019,World,potato,max,1.0,ha/ha
2019,World,peanut,max,1.0,ha/ha
2019,World,alfalfa,max,1.0,ha/ha
2019,World,hay_non-legume,max,1.0,ha/ha
2019,World,forage_n-fixing,max,1.0,ha/ha
2019,World,forage_non-n-fixing,max,1.0,ha/ha
2019,World,grass-clover,max,1.0,ha/ha
2019,World,crop_unsp,abs_min,0.0,ha/ha
2019,World,grain_generic,abs_min,0.0,ha/ha
2019,World,wheat_winter,abs_min,0.0,ha/ha
2019,World,wheat_spring,abs_min,0.0,ha/ha
2019,World,barley,abs_min,0.0,ha/ha
2019,World,oat,abs_min,0.0,ha/ha
2019,World,maize,abs_min,0.0,ha/ha
2019,World,rye,abs_min,0.0,ha/ha
2019,World,millet,abs_min,0.0,ha/ha
2019,World,sorghum,abs_min,0.0,ha/ha
2019,World,bean,abs_min,0.0,ha/ha
2019,World,soybean,abs_min,0.0,ha/ha
2019,World,potato,abs_min,0.0,ha/ha
2019,World,peanut,abs_min,0.0,ha/ha
2019,World,alfalfa,abs_min,0.0,ha/ha
2019,World,hay_non-legume,abs_min,0.0,ha/ha
2019,World,forage_n-fixing,abs_min,0.0,ha/ha
2019,World,forage_non-n-fixing,abs_min,0.0,ha/ha
2019,World,grass-clover,abs_min,0.0,ha/ha
2019,World,crop_unsp,abs_max,1.0,ha/ha
2019,World,grain_generic,abs_max,1.0,ha/ha
2019,World,wheat_winter,abs_max,1.0,ha/ha
2019,World,wheat_spring,abs_max,1.0,ha/ha
2019,World,barley,abs_max,1.0,ha/ha
2019,World,oat,abs_max,1.0,ha/ha
2019,World,maize,abs_max,1.0,ha/ha
2019,World,rye,abs_max,1.0,ha/ha
2019,World,millet,abs_max,1.0,ha/ha
2019,World,sorghum,abs_max,1.0,ha/ha
2019,World,bean,abs_max,1.0,ha/ha
2019,World,soybean,abs_max,1.0,ha/ha
2019,World,potato,abs_max,1.0,ha/ha
2019,World,peanut,abs_max,1.0,ha/ha
2019,World,alfalfa,abs_max,1.0,ha/ha
2019,World,hay_non-legume,abs_max,1.0,ha/ha
2019,World,forage_n-fixing,abs_max,1.0,ha/ha
2019,World,forage_non-n-fixing,abs_max,1.0,ha/ha
2019,World,grass-clover,abs_max,1.0,ha/ha
