Period,Net Income,Depreciation,CapEx,Working Capital Change,Owner Earnings
2025Q2,7082000000.0,6101000000.0,-6107000000.0,457000000.0,7533000000.0
2025Q1,7713000000.0,5702000000.0,-4075000000.0,4279000000.0,13619000000.0
2024Q4,7610000000.0,6585000000.0,-3606000000.0,2673000000.0,13262000000.0
2024Q3,8610000000.0,6258000000.0,-6033000000.0,1119000000.0,9954000000.0
2024Q2,9240000000.0,5787000000.0,-5309000000.0,1981000000.0,11699000000.0
2024Q1,8220000000.0,4812000000.0,-4371000000.0,3837000000.0,12498000000.0
2023Q4,7630000000.0,7740000000.0,-5208000000.0,-1337000000.0,8825000000.0
2023Q3,9070000000.0,4415000000.0,-4003000000.0,-11000000.0,9471000000.0
2023Q2,7880000000.0,4242000000.0,-4072000000.0,613000000.0,8663000000.0
2023Q1,11430000000.0,4244000000.0,-4558000000.0,-1972000000.0,9144000000.0
2022Q4,12750000000.0,5064000000.0,-4450000000.0,-3354000000.0,10010000000.0
2022Q3,19660000000.0,5642000000.0,-2194000000.0,-12179000000.0,10929000000.0
2022Q2,17850000000.0,4451000000.0,-2898000000.0,-7857000000.0,11546000000.0
2022Q1,5480000000.0,8883000000.0,-3618000000.0,-2685000000.0,8060000000.0
2021Q4,8870000000.0,5661000000.0,-913000000.0,-8812000000.0,4806000000.0
2021Q3,6750000000.0,4990000000.0,-3397000000.0,-3095000000.0,5248000000.0
2021Q2,4690000000.0,4952000000.0,-2190000000.0,-2559000000.0,4893000000.0
2021Q1,2730000000.0,5004000000.0,-2400000000.0,485000000.0,5819000000.0
2020Q4,-20070000000.0,30291000000.0,-2630000000.0,3695000000.0,11286000000.0
2020Q3,-680000000.0,4983000000.0,-3291000000.0,3521000000.0,4533000000.0
2020Q2,-1080000000.0,4916000000.0,-4417000000.0,-10270000000.0,-10851000000.0
2020Q1,-610000000.0,5819000000.0,-5945000000.0,587000000.0,-149000000.0
2019Q4,5690000000.0,4923000000.0,-6704000000.0,-250000000.0,3659000000.0
2019Q3,3170000000.0,4873000000.0,-6285000000.0,-4357000000.0,-2599000000.0
2019Q2,3130000000.0,4631000000.0,-6173000000.0,3488000000.0,5076000000.0
2019Q1,2350000000.0,4571000000.0,-5199000000.0,5891000000.0,7613000000.0
2018Q4,6000000000.0,5028000000.0,-6094000000.0,-2148000000.0,2786000000.0
2018Q3,6240000000.0,4658000000.0,-5204000000.0,-579000000.0,5115000000.0
2018Q2,3950000000.0,4589000000.0,-4927000000.0,-99000000.0,3513000000.0
2018Q1,4650000000.0,4470000000.0,-3349000000.0,1354000000.0,7125000000.0
2017Q4,8380000000.0,5842000000.0,-4501000000.0,2612000000.0,12333000000.0
2017Q3,3970000000.0,4880000000.0,-4913000000.0,-744000000.0,3193000000.0
2017Q2,3350000000.0,4652000000.0,-3098000000.0,-1474000000.0,3430000000.0
2017Q1,4010000000.0,4519000000.0,-2890000000.0,4021000000.0,9660000000.0
2016Q4,1680000000.0,8117000000.0,-3887000000.0,-854000000.0,5056000000.0
2016Q3,2650000000.0,4605000000.0,-3404000000.0,1400000000.0,5251000000.0
2016Q2,1700000000.0,4821000000.0,-4271000000.0,1201000000.0,3451000000.0
2016Q1,1810000000.0,4765000000.0,-4601000000.0,-6878000000.0,-4904000000.0
2015Q4,2780000000.0,4755000000.0,-6136000000.0,3759000000.0,5158000000.0
2015Q3,4240000000.0,4542000000.0,-6401000000.0,0.0,2381000000.0
